giorno,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,ruolo,nome_stazione
2025-09-30,FA,S04700,1,1,0,0,0,0,0,1,0,1,1,1,1,0,35,0,35,35.0,35.0,35.0,35.0,arrivo,GENOVA PIAZZA PRINCIPE
2025-09-30,FA,S08409,1,1,0,0,0,0,0,1,0,1,1,1,1,0,35,0,35,35.0,35.0,35.0,35.0,partenza,ROMA TERMINI
2025-09-30,FR,S01700,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,7.0,7.0,7.0,7.0,arrivo,MILANO CENTRALE
2025-09-30,FR,S01700,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-7,-7.0,-7.0,-7.0,-7.0,partenza,MILANO CENTRALE
2025-09-30,FR,S02593,1,1,0,0,0,0,0,1,0,1,1,1,1,0,47,0,47,47.0,47.0,47.0,47.0,partenza,VENEZIA S.LUCIA
2025-09-30,FR,S08409,2,2,0,0,0,0,1,1,0,1,0,0,0,0,8,0,8,4.0,4.0,6.4,6.699999999999999,partenza,ROMA TERMINI
2025-09-30,FR,S09218,3,3,0,0,0,0,1,1,1,1,1,1,1,0,48,7,41,13.666666666666666,1.0,37.800000000000004,42.4,arrivo,NAPOLI CENTRALE
2025-09-30,IC,S01700,4,4,0,0,0,0,2,1,1,1,1,0,0,0,17,22,-5,-1.25,3.0,8.600000000000001,9.799999999999997,partenza,MILANO CENTRALE
2025-09-30,IC,S04501,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,arrivo,VENTIMIGLIA
2025-09-30,IC,S04725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,arrivo,SESTRI LEVANTE
2025-09-30,IC,S06000,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0,arrivo,LA SPEZIA CENTRALE
