giorno,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,ruolo,nome_stazione
2025-09-30,FA,S04700,1,1,0,0,0,0,0,1,0,1,1,1,1,0,35,0,35,35.0,35.0,35.0,35.0,nodo,GENOVA PIAZZA PRINCIPE
2025-09-30,FA,S08409,1,1,0,0,0,0,0,1,0,1,1,1,1,0,35,0,35,35.0,35.0,35.0,35.0,nodo,ROMA TERMINI
2025-09-30,FR,S01700,2,2,0,0,0,0,0,1,1,1,0,0,0,0,7,7,0,0.0,0.0,0.0,0.0,nodo,MILANO CENTRALE
2025-09-30,FR,S02593,1,1,0,0,0,0,0,1,0,1,1,1,1,0,47,0,47,47.0,47.0,47.0,47.0,nodo,VENEZIA S.LUCIA
2025-09-30,FR,S08409,2,2,0,0,0,0,1,1,0,1,0,0,0,0,8,0,8,4.0,4.0,6.4,6.699999999999999,nodo,ROMA TERMINI
2025-09-30,FR,S09218,3,3,0,0,0,0,1,1,1,1,1,1,1,0,48,7,41,13.666666666666666,1.0,37.800000000000004,42.4,nodo,NAPOLI CENTRALE
2025-09-30,IC,S01700,4,4,0,0,0,0,2,1,1,1,1,0,0,0,17,22,-5,-1.25,3.0,8.600000000000001,9.799999999999997,nodo,MILANO CENTRALE
2025-09-30,IC,S04501,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,nodo,VENTIMIGLIA
2025-09-30,IC,S04725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,nodo,SESTRI LEVANTE
2025-09-30,IC,S06000,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0,nodo,LA SPEZIA CENTRALE
2025-09-30,IC,S06421,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-6,-6.0,-6.0,-6.0,-6.0,nodo,FIRENZE SANTA MARIA NOVELLA
2025-09-30,IC,S07226,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-6,-6.0,-6.0,-6.0,-6.0,nodo,TERNI
2025-09-30,IC,S08409,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,21,-21,-10.5,-10.5,-4.5,-3.750000000000001,nodo,ROMA TERMINI
2025-09-30,IC,S09218,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,nodo,NAPOLI CENTRALE
2025-09-30,IC,S09818,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,-22,-22.0,-22.0,-22.0,-22.0,nodo,SALERNO
2025-09-30,IC,S12349,3,3,0,0,0,0,1,0,2,0,0,0,0,0,3,21,-18,-6.0,-3.0,1.8000000000000003,2.3999999999999995,nodo,SIRACUSA
2025-09-30,ICN,S00219,7,7,0,0,0,0,3,2,2,2,2,2,0,0,50,10,40,6.125,1.25,17.050000000000004,19.274999999999995,nodo,TORINO PORTA NUOVA
2025-09-30,ICN,S01700,2,2,0,0,0,0,0,2,0,2,2,2,0,0,39,0,39,19.5,19.5,19.5,19.5,nodo,MILANO CENTRALE
2025-09-30,ICN,S03317,2,2,0,0,0,0,1,1,0,1,1,0,0,0,17,0,17,8.5,8.5,8.5,8.5,nodo,TRIESTE CENTRALE
2025-09-30,ICN,S08409,4,4,0,0,0,0,2,1,1,1,1,0,0,0,20,2,18,7.666666666666667,8.5,8.5,8.5,nodo,ROMA TERMINI
2025-09-30,ICN,S09818,4,4,0,0,0,0,1,1,2,1,1,1,0,0,25,10,15,3.75,3.75,9.15,9.825,nodo,SALERNO
2025-09-30,ICN,S11145,2,2,0,0,0,0,1,1,0,1,1,1,0,0,26,0,26,13.0,13.0,20.2,21.099999999999998,nodo,LECCE
2025-09-30,ICN,S11781,2,2,0,0,0,0,1,1,0,1,1,1,0,0,21,0,21,10.5,10.5,10.5,10.5,nodo,REGGIO DI CALABRIA CENTRALE
2025-09-30,ICN,S12349,3,3,0,0,0,0,1,1,1,1,1,1,0,0,20,2,18,6.0,3.0,14.200000000000001,15.599999999999998,nodo,SIRACUSA
2025-09-30,REG,S00034,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,nodo,MORTARA
2025-09-30,REG,S00219,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,nodo,TORINO PORTA NUOVA
2025-09-30,REG,S00248,3,3,0,0,0,0,1,1,1,1,1,0,0,0,13,1,12,5.5,5.5,6.3,6.4,nodo,NOVARA
2025-09-30,REG,S01030,2,2,0,0,0,0,2,0,0,0,0,0,0,0,4,0,4,2.0,2.0,2.0,2.0,nodo,GALLARATE
2025-09-30,REG,S01031,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,nodo,BUSTO ARSIZIO
2025-09-30,REG,S01066,6,6,0,0,0,0,4,0,2,0,0,0,0,0,2,8,-6,-1.0,-1.0,0.6000000000000001,0.7999999999999998,nodo,MILANO CADORNA
2025-09-30,REG,S01137,2,2,0,0,0,0,1,0,1,0,0,0,0,0,0,2,-2,-1.0,-1.0,-0.19999999999999996,-0.10000000000000009,nodo,BUSTO ARSIZIO NORD
2025-09-30,REG,S01205,2,2,0,0,0,0,1,1,0,1,1,0,0,0,11,0,11,5.5,5.5,5.5,5.5,nodo,VARESE
2025-09-30,REG,S01301,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,nodo,CHIASSO
2025-09-30,REG,S01316,3,3,0,0,0,0,1,0,2,0,0,0,0,0,1,8,-7,-1.5,-1.5,-0.7,-0.6000000000000001,nodo,CAMNAGO-LENTATE
2025-09-30,REG,S01326,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2.0,2.0,2.0,2.0,nodo,MILANO GRECO PIRELLI
2025-09-30,REG,S01520,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,nodo,LECCO
2025-09-30,REG,S01529,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,nodo,BERGAMO
2025-09-30,REG,S01631,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,nodo,MILANO PORTA GENOVA
2025-09-30,REG,S01640,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,nodo,MILANO CERTOSA
2025-09-30,REG,S01642,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,7,-7,-1.5,-1.5,-1.1,-1.05,nodo,MILANO BOVISA POLITECNICO
2025-09-30,REG,S01645,3,3,0,0,0,0,0,1,2,1,1,0,0,0,10,5,5,3.75,3.75,3.95,3.975,nodo,MILANO PORTA GARIBALDI
2025-09-30,REG,S01700,6,6,0,0,0,0,0,0,6,0,0,0,0,0,0,11,-11,-1.9,-1.5,-1.5,-1.5,nodo,MILANO CENTRALE
2025-09-30,REG,S01703,2,2,0,0,0,0,1,0,1,0,0,0,0,0,3,1,2,1.0,1.0,2.6,2.8,nodo,PIOLTELLO LIMITO
2025-09-30,REG,S01708,5,5,0,0,0,0,3,1,1,1,1,0,0,0,15,1,14,5.875,6.0,6.5,6.5,nodo,TREVIGLIO
2025-09-30,REG,S01717,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,nodo,BRESCIA
2025-09-30,REG,S01807,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,nodo,VOGHERA
2025-09-30,REG,S01860,3,3,0,0,0,0,0,0,3,0,0,0,0,0,0,5,-5,-1.5,-1.5,-1.1,-1.05,nodo,PAVIA
2025-09-30,REG,S01933,2,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0.5,0.5,0.5,0.5,nodo,SARONNO
2025-09-30,REG,S02011,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,nodo,FORTEZZA
2025-09-30,REG,S02026,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,nodo,BOLZANO
2025-09-30,REG,S02430,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-4,-4.0,-4.0,-4.0,-4.0,nodo,VERONA PORTA NUOVA
2025-09-30,REG,S02581,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,9,-9,-9.0,-9.0,-9.0,-9.0,nodo,PADOVA
2025-09-30,REG,S02593,5,5,0,0,0,0,1,2,2,2,0,0,0,0,13,12,1,0.5,1.25,3.5,3.5,nodo,VENEZIA S.LUCIA
2025-09-30,REG,S02832,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,nodo,BASILIANO
2025-09-30,REG,S03200,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,6,6.0,6.0,6.0,6.0,nodo,PORTOGRUARO CAORLE
2025-09-30,REG,S03310,1,1,0,0,0,0,0,1,0,1,0,0,0,0,6,0,6,6.0,6.0,6.0,6.0,nodo,MONFALCONE
2025-09-30,REG,S03317,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,nodo,TRIESTE CENTRALE
2025-09-30,REG,S04700,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,nodo,GENOVA PIAZZA PRINCIPE
2025-09-30,REG,S04702,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,-5,-2.5,-2.5,-2.5,-2.5,nodo,GENOVA BRIGNOLE
2025-09-30,REG,S04725,3,3,0,0,0,0,2,0,1,0,0,0,0,0,4,2,2,0.75,0.75,1.75,1.875,nodo,SESTRI LEVANTE
2025-09-30,REG,S04801,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,nodo,SAVONA
2025-09-30,REG,S05000,1,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2.0,2.0,2.0,2.0,nodo,PIACENZA
2025-09-30,REG,S05043,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,6,-6,-3.0,-3.0,-3.0,-3.0,nodo,BOLOGNA CENTRALE
2025-09-30,REG,S05308,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,4,-4,-4.0,-4.0,-4.0,-4.0,nodo,POGGIO RUSCO
2025-09-30,REG,S06000,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,nodo,LA SPEZIA CENTRALE
2025-09-30,REG,S06421,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,5,-5,-2.5,-2.5,-2.1,-2.05,nodo,FIRENZE SANTA MARIA NOVELLA
2025-09-30,REG,S06500,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,-1,-1.0,-1.0,-1.0,-1.0,nodo,PISA CENTRALE
2025-09-30,REG,S06725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3,-3,-3.0,-3.0,-3.0,-3.0,nodo,LIVORNO CENTRALE
2025-09-30,REG,S06915,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,nodo,AREZZO
2025-09-30,REG,S07113,1,1,0,0,0,0,0,1,0,1,1,1,0,0,16,0,16,16.0,16.0,16.0,16.0,nodo,ANCONA
2025-09-30,REG,S08010,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,nodo,CIVITAVECCHIA
