mese,categoria,decile,corse,min_decile,max_decile,media_decile
2024-06-01,,1,573,-35.0,-4.0,-6.792321116928447
2024-06-01,,10,572,38.0,327.0,74.53321678321679
2024-06-01,,2,573,-4.0,-1.0,-2.699825479930192
2024-06-01,,3,573,-1.0,1.0,-0.22338568935427575
2024-06-01,,4,572,1.0,3.0,1.7587412587412588
2024-06-01,,5,572,3.0,5.0,3.582167832167832
2024-06-01,,6,572,5.0,7.0,5.7674825174825175
2024-06-01,,7,572,7.0,11.0,9.045454545454545
2024-06-01,,8,572,11.0,19.0,14.395104895104895
2024-06-01,,9,572,19.0,37.0,26.347902097902097
2024-06-01,EC,1,45,-10.0,-4.0,-5.8
2024-06-01,EC,10,44,31.0,212.0,65.79545454545455
2024-06-01,EC,2,45,-4.0,-1.0,-2.4
2024-06-01,EC,3,45,-1.0,1.0,0.022222222222222223
2024-06-01,EC,4,45,1.0,2.0,1.7555555555555555
2024-06-01,EC,5,44,3.0,5.0,3.5681818181818183
2024-06-01,EC,6,44,5.0,7.0,5.840909090909091
2024-06-01,EC,7,44,7.0,10.0,8.454545454545455
2024-06-01,EC,8,44,10.0,15.0,11.840909090909092
2024-06-01,EC,9,44,15.0,30.0,19.772727272727273
2024-06-01,EN,1,4,-5.0,1.0,-2.0
2024-06-01,EN,10,3,183.0,318.0,263.0
2024-06-01,EN,2,4,1.0,7.0,4.0
2024-06-01,EN,3,4,8.0,9.0,8.25
2024-06-01,EN,4,4,9.0,17.0,14.0
2024-06-01,EN,5,4,18.0,32.0,25.0
2024-06-01,EN,6,3,34.0,47.0,39.666666666666664
2024-06-01,EN,7,3,47.0,55.0,50.666666666666664
2024-06-01,EN,8,3,57.0,78.0,66.33333333333333
2024-06-01,EN,9,3,80.0,160.0,113.33333333333333
2024-06-01,EXP,1,2,-40.0,-26.0,-33.0
2024-06-01,EXP,10,1,223.0,223.0,223.0
2024-06-01,EXP,2,2,-6.0,-4.0,-5.0
2024-06-01,EXP,3,2,-3.0,-1.0,-2.0
2024-06-01,EXP,4,2,-1.0,0.0,-0.5
2024-06-01,EXP,5,2,4.0,8.0,6.0
2024-06-01,EXP,6,2,9.0,14.0,11.5
2024-06-01,EXP,7,1,17.0,17.0,17.0
2024-06-01,EXP,8,1,38.0,38.0,38.0
2024-06-01,EXP,9,1,189.0,189.0,189.0
2024-06-01,IC,1,224,-39.0,-4.0,-8.013392857142858
2024-06-01,IC,10,223,37.0,447.0,73.97757847533633
2024-06-01,IC,2,224,-4.0,-2.0,-2.8035714285714284
2024-06-01,IC,3,223,-2.0,0.0,-0.6322869955156951
2024-06-01,IC,4,223,0.0,3.0,1.4708520179372198
2024-06-01,IC,5,223,3.0,4.0,3.4394618834080717
2024-06-01,IC,6,223,4.0,7.0,5.780269058295964
2024-06-01,IC,7,223,7.0,11.0,8.995515695067265
2024-06-01,IC,8,223,11.0,19.0,14.291479820627803
2024-06-01,IC,9,223,19.0,37.0,26.385650224215247
2024-06-01,ICN,1,35,-50.0,-7.0,-16.085714285714285
2024-06-01,ICN,10,34,31.0,215.0,70.67647058823529
2024-06-01,ICN,2,35,-7.0,-3.0,-4.3428571428571425
2024-06-01,ICN,3,35,-3.0,-1.0,-1.8571428571428572
2024-06-01,ICN,4,35,-1.0,1.0,0.08571428571428572
2024-06-01,ICN,5,35,1.0,3.0,2.057142857142857
2024-06-01,ICN,6,34,3.0,5.0,3.9411764705882355
2024-06-01,ICN,7,34,5.0,9.0,7.0588235294117645
2024-06-01,ICN,8,34,10.0,16.0,12.323529411764707
2024-06-01,ICN,9,34,16.0,31.0,21.735294117647058
2024-06-01,IR,1,1,43.0,43.0,43.0
2024-06-01,MET,1,478,-13.0,-3.0,-4.294979079497908
2024-06-01,MET,10,478,3.0,73.0,9.098326359832637
2024-06-01,MET,2,478,-3.0,-2.0,-2.6255230125523012
2024-06-01,MET,3,478,-2.0,-2.0,-2.0
2024-06-01,MET,4,478,-2.0,-1.0,-1.2468619246861925
2024-06-01,MET,5,478,-1.0,-1.0,-1.0
2024-06-01,MET,6,478,-1.0,0.0,-0.3305439330543933
2024-06-01,MET,7,478,0.0,1.0,0.600418410041841
2024-06-01,MET,8,478,1.0,2.0,1.0920502092050208
2024-06-01,MET,9,478,2.0,3.0,2.307531380753138
2024-06-01,NCL,1,2,-61.0,-43.0,-52.0
2024-06-01,NCL,10,1,19.0,19.0,19.0
2024-06-01,NCL,2,2,-31.0,-27.0,-29.0
2024-06-01,NCL,3,2,-26.0,-24.0,-25.0
2024-06-01,NCL,4,1,-24.0,-24.0,-24.0
2024-06-01,NCL,5,1,-23.0,-23.0,-23.0
2024-06-01,NCL,6,1,-21.0,-21.0,-21.0
2024-06-01,NCL,7,1,-7.0,-7.0,-7.0
2024-06-01,NCL,8,1,-1.0,-1.0,-1.0
2024-06-01,NCL,9,1,0.0,0.0,0.0
2024-06-01,REG,1,15458,-68.0,-3.0,-5.059645491007893
2024-06-01,REG,10,15457,7.0,295.0,18.15442841431067
2024-06-01,REG,2,15458,-3.0,-2.0,-2.509444947599948
2024-06-01,REG,3,15458,-2.0,-1.0,-1.5224479234053565
2024-06-01,REG,4,15458,-1.0,0.0,-0.8412472506145685
2024-06-01,REG,5,15458,0.0,1.0,0.17628412472506147
2024-06-01,REG,6,15458,1.0,1.0,1.0
2024-06-01,REG,7,15458,1.0,2.0,1.9377668521154094
2024-06-01,REG,8,15458,2.0,4.0,3.2271962737740973
2024-06-01,REG,9,15458,4.0,7.0,5.224414542631647
