mese,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,nome_partenza,nome_arrivo
2025-12,IC,S12301,S12002,1,1,0,0,0,0,0,1,0,1,1,1,1,1,96,0,96,96.0,96.0,96.0,96.0,MESSINA CENTRALE,PALERMO CENTRALE
2025-12,REG,S08411,S08409,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-6,-6.0,-6.0,-6.0,-6.0,FIUMICINO AEROPORTO,ROMA TERMINI
2026-01,EC,S01003,S01700,9,9,0,0,0,0,0,9,0,9,4,1,0,0,89,0,89,9.88888888888889,9.0,13.8,15.399999999999999,DOMODOSSOLA,MILANO CENTRALE
2026-01,EC,S01003,S02593,2,2,0,0,0,0,1,1,0,1,0,0,0,0,12,0,12,6.0,6.0,8.4,8.7,DOMODOSSOLA,VENEZIA S.LUCIA
2026-01,EC,S01301,S01700,21,21,0,0,0,0,11,2,8,2,1,1,0,0,48,25,23,1.0952380952380953,2.0,4.0,7.0,CHIASSO,MILANO CENTRALE
2026-01,EC,S01301,S02593,2,2,0,0,0,0,0,1,1,1,1,1,0,0,18,3,15,7.5,7.5,15.9,16.95,CHIASSO,VENEZIA S.LUCIA
2026-01,EC,S01301,S06421,2,2,0,0,0,0,0,2,0,2,1,1,0,0,34,0,34,17.0,17.0,26.6,27.799999999999997,CHIASSO,FIRENZE SANTA MARIA NOVELLA
2026-01,EC,S01700,S01003,10,10,0,0,0,0,4,3,3,3,2,1,0,0,43,10,33,3.3,3.5,10.499999999999998,12.749999999999995,MILANO CENTRALE,DOMODOSSOLA
2026-01,EC,S01700,S01301,22,22,0,0,0,0,7,2,13,2,0,0,0,0,24,35,-11,-0.5,-2.0,3.900000000000002,4.949999999999999,MILANO CENTRALE,CHIASSO
2026-01,EC,S02001,S02026,2,2,0,0,0,0,0,2,0,2,2,2,1,0,69,0,69,34.5,34.5,42.9,43.949999999999996,BRENNERO,BOLZANO
2026-01,EC,S02001,S02430,2,2,0,0,0,0,0,2,0,2,1,1,0,0,23,0,23,11.5,11.5,15.1,15.549999999999999,BRENNERO,VERONA PORTA NUOVA
2026-01,EC,S02001,S02593,4,4,0,0,0,0,2,0,2,0,0,0,0,0,3,3,0,0.0,-0.5,2.1000000000000005,2.549999999999999,BRENNERO,VENEZIA S.LUCIA
2026-01,EC,S02001,S05043,4,4,0,0,0,0,0,4,0,4,4,3,2,0,116,0,116,29.0,29.0,41.0,42.5,BRENNERO,BOLOGNA CENTRALE
2026-01,EC,S02026,S02001,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,10,-10,-5.0,-5.0,-2.5999999999999996,-2.3000000000000003,BOLZANO,BRENNERO
2026-01,EC,S02430,S02001,2,2,0,0,0,0,0,1,1,1,1,0,0,0,14,2,12,6.0,6.0,12.4,13.2,VERONA PORTA NUOVA,BRENNERO
2026-01,EC,S02593,S01003,2,2,0,0,0,0,0,2,0,2,1,1,0,0,32,0,32,16.0,16.0,23.2,24.099999999999998,VENEZIA S.LUCIA,DOMODOSSOLA
2026-01,EC,S02593,S01301,2,2,0,0,0,0,0,1,1,1,1,1,1,0,40,4,36,18.0,18.0,35.6,37.8,VENEZIA S.LUCIA,CHIASSO
2026-01,EC,S02593,S02001,4,4,0,0,0,0,1,2,1,2,0,0,0,0,15,1,14,3.5,3.5,7.7,7.85,VENEZIA S.LUCIA,BRENNERO
2026-01,EC,S05043,S02001,4,4,0,0,0,0,1,2,1,2,0,0,0,0,14,1,13,3.25,3.0,7.1000000000000005,7.549999999999999,BOLOGNA CENTRALE,BRENNERO
2026-01,EC,S06421,S01301,2,2,0,0,0,0,1,0,1,0,0,0,0,0,4,4,0,0.0,0.0,3.2,3.5999999999999996,FIRENZE SANTA MARIA NOVELLA,CHIASSO
2026-01,ECFR,S00201,S01700,4,4,0,0,0,0,1,1,2,1,1,1,0,0,25,19,6,1.5,-3.0,16.300000000000004,19.14999999999999,MODANE,MILANO CENTRALE
