mese,categoria,cod_stazione,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,cancellate_tot,ruolo,nome_stazione
2024-06,EC,,447,447,0,0,0,0,117,221,106,221,140,89,47,17,5168.0,385.0,4783.0,10.772522522522523,4.0,30.0,47.69999999999993,0,arrivo,PIOLTELLO LIMITO
2024-06,EC,,447,447,0,0,0,0,117,221,106,221,140,89,47,17,5168.0,385.0,4783.0,10.772522522522523,4.0,30.0,47.69999999999993,0,partenza,NOVARA
2024-06,EN,,35,35,0,0,0,0,4,28,3,28,22,21,16,8,1805.0,9.0,1796.0,51.31428571428572,22.0,136.00000000000009,214.4999999999997,0,arrivo,PIOLTELLO LIMITO
2024-06,EN,,35,35,0,0,0,0,4,28,3,28,22,21,16,8,1805.0,9.0,1796.0,51.31428571428572,22.0,136.00000000000009,214.4999999999997,0,partenza,NOVARA
2024-06,EXP,,16,16,0,0,0,0,2,7,7,7,5,4,3,2,502.0,81.0,421.0,26.3125,2.0,113.5,197.5,0,arrivo,PIOLTELLO LIMITO
2024-06,EXP,,16,16,0,0,0,0,2,7,7,7,5,4,3,2,502.0,81.0,421.0,26.3125,2.0,113.5,197.5,0,partenza,NOVARA
2024-06,IC,,2241,2241,0,0,0,0,555,1110,567,1110,748,548,293,109,29958.0,2564.0,27394.0,12.273297491039427,4.0,36.90000000000009,59.0,0,arrivo,PIOLTELLO LIMITO
2024-06,IC,,2241,2241,0,0,0,0,555,1110,567,1110,748,548,293,109,29958.0,2564.0,27394.0,12.273297491039427,4.0,36.90000000000009,59.0,0,partenza,NOVARA
2024-06,ICN,,345,345,0,0,0,0,86,145,114,145,102,74,37,15,4019.0,789.0,3230.0,9.36231884057971,3.0,30.600000000000023,58.80000000000001,0,arrivo,PIOLTELLO LIMITO
2024-06,ICN,,345,345,0,0,0,0,86,145,114,145,102,74,37,15,4019.0,789.0,3230.0,9.36231884057971,3.0,30.600000000000023,58.80000000000001,0,partenza,NOVARA
2024-06,IR,,1,1,0,0,0,0,0,1,0,1,1,1,1,0,43.0,0.0,43.0,43.0,43.0,43.0,43.0,0,arrivo,PIOLTELLO LIMITO
2024-06,IR,,1,1,0,0,0,0,0,1,0,1,1,1,1,0,43.0,0.0,43.0,43.0,43.0,43.0,43.0,0,partenza,NOVARA
2024-06,MET,,4864,4864,0,0,0,0,1913,319,2548,319,143,73,11,2,6261.0,5496.0,765.0,0.1600418410041841,-1.0,3.0,6.0,0,arrivo,PIOLTELLO LIMITO
2024-06,MET,,4864,4864,0,0,0,0,1913,319,2548,319,143,73,11,2,6261.0,5496.0,765.0,0.1600418410041841,-1.0,3.0,6.0,0,partenza,NOVARA
2024-06,NCL,,14,14,0,0,0,0,1,1,11,1,1,1,0,0,19.0,288.0,-269.0,-20.692307692307693,-24.0,-0.1999999999999993,7.599999999999973,0,arrivo,PIOLTELLO LIMITO
2024-06,NCL,,14,14,0,0,0,0,1,1,11,1,1,1,0,0,19.0,288.0,-269.0,-20.692307692307693,-24.0,-0.1999999999999993,7.599999999999973,0,partenza,NOVARA
2024-06,REG,,156633,156633,0,0,0,0,68338,26864,59378,26864,10903,6233,2043,445,459397.0,153541.0,305856.0,1.9786259541984728,1.0,7.0,12.0,0,arrivo,PIOLTELLO LIMITO
2024-06,REG,,156633,156633,0,0,0,0,68338,26864,59378,26864,10903,6233,2043,445,459397.0,153541.0,305856.0,1.9786259541984728,1.0,7.0,12.0,0,partenza,NOVARA
2024-06,,,5752,5752,0,0,0,0,1450,2877,1396,2877,1926,1400,748,303,77588.0,5689.0,71899.0,12.563166171588328,5.0,37.0,63.0,0,arrivo,PIOLTELLO LIMITO
2024-06,,,5752,5752,0,0,0,0,1450,2877,1396,2877,1926,1400,748,303,77588.0,5689.0,71899.0,12.563166171588328,5.0,37.0,63.0,0,partenza,NOVARA
2024-07,DIR,,2,2,0,0,0,0,0,1,1,1,1,1,1,0,38.0,1.0,37.0,18.5,18.5,34.1,36.05,0,arrivo,PIOLTELLO LIMITO
2024-07,DIR,,2,2,0,0,0,0,0,1,1,1,1,1,1,0,38.0,1.0,37.0,18.5,18.5,34.1,36.05,0,partenza,NOVARA
2024-07,EC,,617,617,0,0,0,0,112,346,155,346,244,174,88,24,8276.0,519.0,7757.0,12.65415986949429,6.0,38.80000000000007,54.0,0,arrivo,PIOLTELLO LIMITO
2024-07,EC,,617,617,0,0,0,0,112,346,155,346,244,174,88,24,8276.0,519.0,7757.0,12.65415986949429,6.0,38.80000000000007,54.0,0,partenza,NOVARA
