partenza,arrivo,km,fonte,qualita,km_linea_aria,rapporto,km_rinf,km_gtfs,km_osm,km_prontuario
1 BIVIO ORTE NORD,ROMA TERMINI,74.47,osm,stimata,65.25,1.14,,,74.47,
1°BIVIO VALDARNO SUD,ROMA TERMINI,215.07,osm,stimata,194.61,1.11,,,215.07,
A BELLINZONA,BARDONECCHIA,33.0,prontuario,stimata,,,,,,33.0
A BELLINZONA,MODANE,22.0,prontuario,stimata,,,,,,22.0
A BELLINZONA,SNCF GIUBIASCO,3.0,prontuario,stimata,,,,,,3.0
ABBADIA LARIANA,COLICO,31.99,rinf,ufficiale,26.45,1.21,31.991,,31.45,
ABBADIA LARIANA,MILANO CENTRALE,55.72,rinf,ufficiale,45.44,1.23,55.724,,55.7,
ABBADIA LARIANA,MILANO LAMBRATE,56.25,rinf,ufficiale,48.32,1.16,56.253,,58.94,
ABBADIA LARIANA,SONDRIO,72.46,rinf,ufficiale,51.11,1.42,72.456,,71.92,
ABBASANTA,CAGLIARI,129.07,rinf,ufficiale,104.24,1.24,129.074,,129.2,
ABBIATEGRASSO,ALBAIRATE VERMEZZO,3.26,rinf,ufficiale,3.03,1.08,3.263,,3.35,
ABBIATEGRASSO,ALESSANDRIA,65.63,rinf,ufficiale,59.64,1.1,65.628,,65.72,
ABBIATEGRASSO,MILANO PORTA GARIBALDI,36.23,rinf,ufficiale,24.42,1.48,36.229,,34.2,
ABBIATEGRASSO,MILANO PORTA GENOVA,21.1,rinf,ufficiale,,,21.099,,,
ABBIATEGRASSO,MILANO ROGOREDO,27.56,rinf,ufficiale,25.63,1.08,27.557,,30.74,
ABBIATEGRASSO,MILANO S CRISTOFORO,20.46,osm,stimata,19.1,1.07,17.723,,20.46,
ABBIATEGRASSO,MORTARA,23.28,rinf,ufficiale,21.89,1.06,23.282,,23.86,
ACERRA,CASERTA,18.48,osm,stimata,15.23,1.21,,,18.48,
ACERRA,NAPOLI CAMPI FLEGREI,26.73,osm,stimata,21.14,1.26,,,26.73,
ACERRA,NAPOLI CENTRALE,18.08,osm,stimata,13.92,1.3,,,18.08,
ACERRA,POZZUOLI SOLFATARA,33.66,osm,stimata,26.16,1.29,,,33.66,
ACIREALE,ALCANTARA,30.39,rinf,ufficiale,26.31,1.16,30.388,,29.52,
ACIREALE,BICOCCA,20.48,rinf,ufficiale,18.23,1.12,20.481,,19.52,
ACIREALE,CATANIA AEROPORTO FONTANAROSSA,18.25,rinf,ufficiale,16.01,1.14,18.246,,17.3,
ACIREALE,CATANIA CENTRALE,13.05,rinf,ufficiale,11.3,1.15,13.054,,12.07,
ACIREALE,MESSINA CENTRALE,81.72,rinf,ufficiale,74.32,1.1,81.717,,81.11,
ACIREALE,ROCCALUMERA MANDANICI,53.26,rinf,ufficiale,46.54,1.14,53.264,,52.51,
ACIREALE,SIRACUSA,96.01,rinf,ufficiale,60.24,1.59,96.008,,95.46,
ACIREALE,TAORMINA GIARDINI,34.71,rinf,ufficiale,29.73,1.17,34.708,,33.83,
ACQUANEGRA CREMONESE,CODOGNO,16.59,rinf,ufficiale,13.98,1.19,16.595,,16.61,
ACQUANEGRA CREMONESE,CREMONA,10.73,rinf,ufficiale,9.79,1.1,10.735,,10.43,
ACQUANEGRA CREMONESE,MILANO CENTRALE,75.97,rinf,ufficiale,62.85,1.21,75.973,,73.51,
ACQUAVIVA,PALERMO CENTRALE,98.42,osm,stimata,65.77,1.5,,,98.42,
ACQUAVIVA DELLE FONTI,BARI CENTRALE,37.04,rinf,ufficiale,25.17,1.47,37.038,,38.31,
ACQUAVIVA DELLE FONTI,TARANTO,66.99,rinf,ufficiale,55.88,1.2,66.99,,67.06,
ACQUEDOLCI S FRATELLO,PALERMO CENTRALE,119.68,rinf,ufficiale,106.97,1.12,119.676,,119.76,
ACQUI TERME,ALESSANDRIA,33.91,rinf,ufficiale,28.32,1.2,33.909,33.91,34.08,
ACQUI TERME,ALTARE,54.06,rinf,ufficiale,39.03,1.39,54.056,,54.48,
ACQUI TERME,ASTI,45.47,rinf,ufficiale,32.42,1.4,45.465,45.47,68.23,
ACQUI TERME,BISTAGNO,8.98,rinf,ufficiale,8.15,1.1,8.976,8.98,9.01,
ACQUI TERME,CAIRO MONTENOTTE,45.3,rinf,ufficiale,34.53,1.31,45.295,45.3,45.44,
ACQUI TERME,CAMPO LIGURE MASONE,28.81,rinf,ufficiale,23.93,1.2,28.813,,28.85,
ACQUI TERME,CAMPOLIGURE MASONE,28.85,osm,stimata,23.93,1.21,,,28.85,
ACQUI TERME,CASSINE,12.88,rinf,ufficiale,9.99,1.29,12.875,12.88,12.88,
ACQUI TERME,GENOVA ACQUASANTA,40.09,rinf,ufficiale,33.6,1.19,40.094,,40.16,
ACQUI TERME,GENOVA BORZOLI,50.36,rinf,ufficiale,40.86,1.23,50.361,,50.34,
ACQUI TERME,GENOVA BRIGNOLE,60.5,rinf,ufficiale,47.65,1.27,60.499,105.28,60.11,
ACQUI TERME,GENOVA P PRINCIPE,57.66,osm,stimata,45.45,1.27,,107.91,57.66,
ACQUI TERME,GENOVA PIAZZA PRINCIPE,57.86,rinf,ufficiale,45.53,1.27,57.86,102.75,57.77,
ACQUI TERME,GENOVA SAMPIERDARENA,54.79,rinf,ufficiale,43.68,1.25,54.791,107.15,55.11,
ACQUI TERME,MELE,35.78,rinf,ufficiale,30.32,1.18,35.785,,35.84,
ACQUI TERME,MOMBARUZZO,13.16,rinf,ufficiale,11.16,1.18,13.165,13.17,13.07,
ACQUI TERME,MONTEGROSSO,33.36,rinf,ufficiale,24.61,1.36,33.358,33.36,33.45,
