partenza,arrivo,km
1 BIVIO ORTE NORD,ROMA TERMINI,74.471
1°BIVIO VALDARNO SUD,ROMA TERMINI,215.074
ABBADIA LARIANA,COLICO,31.454
ABBADIA LARIANA,MILANO CENTRALE,55.705
ABBADIA LARIANA,MILANO LAMBRATE,58.935
ABBADIA LARIANA,SONDRIO,71.916
ABBASANTA,CAGLIARI,129.203
ABBIATEGRASSO,ALBAIRATE VERMEZZO,3.353
ABBIATEGRASSO,ALESSANDRIA,65.723
ABBIATEGRASSO,MILANO PORTA GARIBALDI,34.195
ABBIATEGRASSO,MILANO ROGOREDO,30.736
ABBIATEGRASSO,MILANO S CRISTOFORO,20.459
ABBIATEGRASSO,MORTARA,23.855
ACERRA,CASERTA,18.482
ACERRA,NAPOLI CAMPI FLEGREI,26.73
ACERRA,NAPOLI CENTRALE,18.079
ACERRA,POZZUOLI SOLFATARA,33.661
ACIREALE,ALCANTARA,29.515
ACIREALE,BICOCCA,19.515
ACIREALE,CATANIA AEROPORTO FONTANAROSSA,17.302
ACIREALE,CATANIA CENTRALE,12.073
ACIREALE,MESSINA CENTRALE,81.108
ACIREALE,ROCCALUMERA MANDANICI,52.508
ACIREALE,SIRACUSA,95.457
ACIREALE,TAORMINA GIARDINI,33.832
ACQUANEGRA CREMONESE,CODOGNO,16.614
ACQUANEGRA CREMONESE,CREMONA,10.425
ACQUANEGRA CREMONESE,MILANO CENTRALE,73.506
ACQUAVIVA,PALERMO CENTRALE,98.425
ACQUAVIVA DELLE FONTI,BARI CENTRALE,38.307
ACQUAVIVA DELLE FONTI,TARANTO,67.062
ACQUEDOLCI S FRATELLO,PALERMO CENTRALE,119.758
ACQUI TERME,ALESSANDRIA,34.079
ACQUI TERME,ALTARE,54.483
ACQUI TERME,ASTI,68.23
ACQUI TERME,BISTAGNO,9.005
ACQUI TERME,CAIRO MONTENOTTE,45.44
ACQUI TERME,CAMPO LIGURE MASONE,28.85
ACQUI TERME,CAMPOLIGURE MASONE,28.85
ACQUI TERME,CASSINE,12.879
ACQUI TERME,GENOVA ACQUASANTA,40.161
ACQUI TERME,GENOVA BORZOLI,50.343
ACQUI TERME,GENOVA BRIGNOLE,60.108
ACQUI TERME,GENOVA P PRINCIPE,57.657
ACQUI TERME,GENOVA PIAZZA PRINCIPE,57.769
ACQUI TERME,GENOVA SAMPIERDARENA,55.108
ACQUI TERME,MELE,35.842
ACQUI TERME,MOMBARUZZO,13.068
ACQUI TERME,MONTEGROSSO,33.452
ACQUI TERME,NIZZA MONFERRATO,25.243
ACQUI TERME,OVADA,14.855
ACQUI TERME,PONTI,13.159
ACQUI TERME,ROSSIGLIONE,23.413
ACQUI TERME,S GIUSEPPE DI CAIRO,48.829
ACQUI TERME,SAVONA,69.555
ACQUI TERME,SPIGNO,25.603
ADRIA,CHIOGGIA,31.309
ADRIA,PIOVE DI SACCO,29.326
ADRIA,ROVIGO,24.569
ADRIA,VENEZIA MESTRE,97.373
ADRIA,VENEZIA S LUCIA,105.257
AGRIGENTO BASSA,CALTANISSETTA XIRBI,69.792
AGRIGENTO BASSA,PALERMO CENTRALE,133.58
AGRIGENTO CENTRALE,ACQUAVIVA,38.159
AGRIGENTO CENTRALE,ACQUAVIVA CASTELTERMINI,38.159
AGRIGENTO CENTRALE,AGRIGENTO BASSA,3.552
AGRIGENTO CENTRALE,ALTAVILLA M,116.208
AGRIGENTO CENTRALE,ARAGONA CALDARE,12.716
AGRIGENTO CENTRALE,BAGHERIA,124.293
AGRIGENTO CENTRALE,CALTANISSETTA CENTRALE,66.363
AGRIGENTO CENTRALE,CALTANISSETTA XIRBI,72.797
AGRIGENTO CENTRALE,CAMMARATA S GIOVANNI GEMINI,48.721
AGRIGENTO CENTRALE,CAMPOFRANCO,30.54
AGRIGENTO CENTRALE,CANICATTI,42.327
AGRIGENTO CENTRALE,CARINI,157.299
AGRIGENTO CENTRALE,CERDA,91.418
AGRIGENTO CENTRALE,COMITINI,17.704
AGRIGENTO CENTRALE,ISOLA DELLE FEMMINE,152.692
AGRIGENTO CENTRALE,MONTEMAGGIORE,75.883
AGRIGENTO CENTRALE,MONTEMAGGIORE BELSITO,75.883
AGRIGENTO CENTRALE,PALERMO AEROPORTO,169.933
AGRIGENTO CENTRALE,PALERMO BRANCACCIO,133.708
AGRIGENTO CENTRALE,PALERMO CENTRALE,136.585
AGRIGENTO CENTRALE,PALERMO NOTARBARTOLO,140.461
AGRIGENTO CENTRALE,PUNTA RAISI,169.933
AGRIGENTO CENTRALE,ROCCAPALUMBA ALIA,67.187
AGRIGENTO CENTRALE,TERMINI IMERESE,100.118
AGRIGENTO CENTRALE,VALLELUNGA,77.658
AGROPOLI CASTELLABATE,COSENZA,193.21
