partenza,arrivo,km,origine_stima
ACQUI TERME,ALESSANDRIA,33.91,cammino
ACQUI TERME,ASTI,45.47,cammino
ACQUI TERME,BISTAGNO,8.98,cammino
ACQUI TERME,CAIRO MONTENOTTE,45.295,cammino
ACQUI TERME,CASSINE,12.88,cammino
ACQUI TERME,GENOVA BRIGNOLE,105.285,cammino
ACQUI TERME,GENOVA P PRINCIPE,107.909,cammino
ACQUI TERME,GENOVA PIAZZA PRINCIPE,102.745,cammino
ACQUI TERME,GENOVA SAMPIERDARENA,107.153,cammino
ACQUI TERME,MOMBARUZZO,13.17,cammino
ACQUI TERME,MONTEGROSSO,33.36,cammino
ACQUI TERME,NIZZA MONFERRATO,20.51,cammino
ACQUI TERME,PONTI,13.125,cammino
ACQUI TERME,S GIUSEPPE DI CAIRO,48.015,cammino
ACQUI TERME,SAVONA,68.305,cammino
ACQUI TERME,SPIGNO,25.495,cammino
AIRASCA,CHIVASSO,49.565,cammino
AIRASCA,PINEROLO,12.65,cammino
ALASSIO,ALBENGA,6.14,adiacenti
ALASSIO,COGOLETO,61.161,cammino
ALASSIO,GENOVA BRIGNOLE,93.524,cammino
ALASSIO,GENOVA P PRINCIPE,90.9,cammino
ALASSIO,GENOVA PIAZZA PRINCIPE,96.064,cammino
ALASSIO,GENOVA VOLTRI,71.456,cammino
ALASSIO,LOANO,15.15,cammino
ALASSIO,MILANO CENTRALE,246.856,cammino
ALASSIO,SAVONA,43.49,cammino
ALASSIO,VARAZZE,53.898,cammino
ALASSIO,VENTIMIGLIA,56.05,cammino
ALBA,ASTI,96.055,cammino
ALBA,BRA,17.485,cammino
ALBA,CARMAGNOLA,37.935,cammino
ALBA,MONCALIERI,58.325,cammino
ALBA,ROMA TERMINI,675.128,cammino
ALBA,TORINO LINGOTTO,62.015,cammino
ALBA,TORINO PORTA NUOVA,66.335,cammino
ALBA,TORINO PORTA SUSA,67.865,cammino
ALBA,TORINO STURA,74.865,cammino
ALBA,TROFARELLO,53.305,cammino
ALBENGA,ARQUATA SCRIVIA,125.709,cammino
ALBENGA,COGOLETO,55.021,cammino
ALBENGA,GENOVA BRIGNOLE,87.384,cammino
ALBENGA,GENOVA P PRINCIPE,84.76,cammino
ALBENGA,GENOVA PIAZZA PRINCIPE,89.924,cammino
ALBENGA,GENOVA VOLTRI,65.316,cammino
ALBENGA,MILANO CENTRALE,240.716,cammino
ALBENGA,MILANO LAMBRATE,236.936,cammino
ALBENGA,MILANO PORTA GARIBALDI,254.365,cammino
ALBENGA,MILANO ROGOREDO,231.145,cammino
ALBENGA,PAVIA,202.54,cammino
ALBENGA,SAVONA,37.35,cammino
ALBENGA,SESTRI LEVANTE,129.939,cammino
ALBENGA,TORINO PORTA NUOVA,184.59,cammino
ALBENGA,TORTONA,161.48,cammino
ALBENGA,VENTIMIGLIA,62.19,cammino
ALBENGA,VOGHERA,177.68,cammino
