partenza,arrivo,km
ABBADIA LARIANA,COLICO,31.991
ABBADIA LARIANA,MILANO CENTRALE,55.724
ABBADIA LARIANA,MILANO LAMBRATE,56.253
ABBADIA LARIANA,SONDRIO,72.456
ABBASANTA,CAGLIARI,129.074
ABBIATEGRASSO,ALBAIRATE VERMEZZO,3.263
ABBIATEGRASSO,ALESSANDRIA,65.628
ABBIATEGRASSO,MILANO PORTA GARIBALDI,36.229
ABBIATEGRASSO,MILANO PORTA GENOVA,21.099
ABBIATEGRASSO,MILANO ROGOREDO,27.557
ABBIATEGRASSO,MILANO S CRISTOFORO,17.723
ABBIATEGRASSO,MORTARA,23.282
ACIREALE,ALCANTARA,30.388
ACIREALE,BICOCCA,20.481
ACIREALE,CATANIA AEROPORTO FONTANAROSSA,18.246
ACIREALE,CATANIA CENTRALE,13.054
ACIREALE,MESSINA CENTRALE,81.717
ACIREALE,ROCCALUMERA MANDANICI,53.264
ACIREALE,SIRACUSA,96.008
ACIREALE,TAORMINA GIARDINI,34.708
ACQUANEGRA CREMONESE,CODOGNO,16.595
ACQUANEGRA CREMONESE,CREMONA,10.735
ACQUANEGRA CREMONESE,MILANO CENTRALE,75.973
ACQUAVIVA DELLE FONTI,BARI CENTRALE,37.038
ACQUAVIVA DELLE FONTI,TARANTO,66.99
ACQUEDOLCI S FRATELLO,PALERMO CENTRALE,119.676
ACQUI TERME,ALESSANDRIA,33.909
ACQUI TERME,ALTARE,54.056
ACQUI TERME,ASTI,45.465
ACQUI TERME,BISTAGNO,8.976
ACQUI TERME,CAIRO MONTENOTTE,45.295
ACQUI TERME,CAMPO LIGURE MASONE,28.813
ACQUI TERME,CASSINE,12.875
ACQUI TERME,GENOVA ACQUASANTA,40.094
ACQUI TERME,GENOVA BORZOLI,50.361
ACQUI TERME,GENOVA BRIGNOLE,60.499
ACQUI TERME,GENOVA PIAZZA PRINCIPE,57.86
ACQUI TERME,GENOVA SAMPIERDARENA,54.791
ACQUI TERME,MELE,35.785
ACQUI TERME,MOMBARUZZO,13.165
ACQUI TERME,MONTEGROSSO,33.358
ACQUI TERME,NIZZA MONFERRATO,20.51
ACQUI TERME,OVADA,14.843
ACQUI TERME,PONTI,13.124
ACQUI TERME,ROSSIGLIONE,23.381
ACQUI TERME,S GIUSEPPE CAIRO,48.01
ACQUI TERME,SAVONA,68.303
ACQUI TERME,SPIGNO,25.502
ADRIA,CHIOGGIA,31.235
ADRIA,ROVIGO,24.557
ADRIA,VENEZIA MESTRE,96.805
ADRIA,VENEZIA S LUCIA,105.239
AGRIGENTO BASSA,CALTANISSETTA XIRBI,74.381
AGRIGENTO BASSA,PALERMO CENTRALE,133.074
AGRIGENTO CENTRALE,ACQUAVIVA CASTELTERMINI,37.941
AGRIGENTO CENTRALE,AGRIGENTO BASSA,2.97
AGRIGENTO CENTRALE,ARAGONA CALDARE,12.614
AGRIGENTO CENTRALE,BAGHERIA,122.838
AGRIGENTO CENTRALE,CALTANISSETTA CENTRALE,71.017
AGRIGENTO CENTRALE,CALTANISSETTA XIRBI,77.351
AGRIGENTO CENTRALE,CAMMARATA S GIOVANNI GEMINI,48.464
AGRIGENTO CENTRALE,CAMPOFRANCO,30.356
AGRIGENTO CENTRALE,CANICATTI,42.116
AGRIGENTO CENTRALE,CARINI,160.006
AGRIGENTO CENTRALE,CERDA,91.005
AGRIGENTO CENTRALE,COMITINI,18.837
AGRIGENTO CENTRALE,ISOLA DELLE FEMMINE,152.074
AGRIGENTO CENTRALE,MONTEMAGGIORE BELSITO,75.521
AGRIGENTO CENTRALE,PALERMO AEROPORTO,169.091
AGRIGENTO CENTRALE,PALERMO BRANCACCIO,133.141
AGRIGENTO CENTRALE,PALERMO CENTRALE,136.044
AGRIGENTO CENTRALE,PALERMO NOTARBARTOLO,139.968
AGRIGENTO CENTRALE,ROCCAPALUMBA ALIA,66.87
AGRIGENTO CENTRALE,TERMINI IMERESE,99.629
AGRIGENTO CENTRALE,VALLELUNGA,77.45
AGROPOLI CASTELLABATE,COSENZA,193.201
AGROPOLI CASTELLABATE,NAPOLI CENTRALE,100.675
AGROPOLI CASTELLABATE,SALERNO,49.389
AIRASCA,CHIVASSO,49.558
AIRASCA,PINEROLO,12.651
ALA,BOLZANO,95.548
ALA,BRONZOLO,84.611
ALA,EGNA TERMENO,73.716
ALA,MEZZOCORONA,56.941
ALA,ROVERETO,16.536
ALA,TRENTO,40.109
ALA,VERONA PORTA NUOVA,50.574
ALANO FENER VALDOBBIADENE,PADOVA,63.891
ALASSIO,ALBENGA,6.133
ALASSIO,COGOLETO,61.194
ALASSIO,FINALE LIGURE MARINA,24.139
ALASSIO,GENOVA BRIGNOLE,88.441
ALASSIO,GENOVA PIAZZA PRINCIPE,85.802
ALASSIO,GENOVA SESTRI PONENTE AEROPORTO,79.237
ALASSIO,GENOVA VOLTRI,71.519
ALASSIO,LOANO,15.143
ALASSIO,MILANO CENTRALE,219.935
ALASSIO,SAVONA,43.484
ALASSIO,VARAZZE,53.937
ALASSIO,VENTIMIGLIA,56.053
ALBA,ASTI,33.558
ALBA,BALANGERO,98.472
ALBA,BRA,17.49
ALBA,CARMAGNOLA,37.935
ALBA,CASTAGNOLE DELLE LANZE,13.43
ALBA,CIRIE,90.837
ALBA,GERMAGNANO,103.2
ALBA,MATHI,96.448
ALBA,MONCALIERI,58.324
ALBA,ROMA TERMINI,627.253
ALBA,S MAURIZIO CANAVESE,88.167
ALBA,S VITTORIA,10.729
ALBA,TORINO AEROPORTO CASELLE,85.091
ALBA,TORINO LINGOTTO,62.016
ALBA,TORINO PORTA NUOVA,66.334
ALBA,TORINO PORTA SUSA,67.866
ALBA,TORINO REBAUDENGO FOSSATA,71.375
ALBA,TORINO STURA,74.858
ALBA,TROFARELLO,53.304
ALBA,VENARIA REALE REGGIA,77.741
ALBACINA,ANCONA,61.992
ALBACINA,MACERATA,59.406
ALBACINA,MATELICA,12.342
ALBAIRATE VERMEZZO,ABBIATEGRASSO,3.263
ALBAIRATE VERMEZZO,ALESSANDRIA,68.891
ALBAIRATE VERMEZZO,CESANO MADERNO,49.105
ALBAIRATE VERMEZZO,DESIO,46.251
ALBAIRATE VERMEZZO,LISSONE MUGGIO,44.163
ALBAIRATE VERMEZZO,MILANO CENTRALE,31.076
ALBAIRATE VERMEZZO,MILANO CERTOSA,35.697
ALBAIRATE VERMEZZO,MILANO GRECO PIRELLI,31.158
ALBAIRATE VERMEZZO,MILANO LAMBRATE,27.278
ALBAIRATE VERMEZZO,MILANO PORTA GARIBALDI,32.966
ALBAIRATE VERMEZZO,MILANO PORTA GENOVA,17.836
ALBAIRATE VERMEZZO,MILANO ROGOREDO,24.294
ALBAIRATE VERMEZZO,MILANO S CRISTOFORO,14.46
ALBAIRATE VERMEZZO,MONZA,39.749
ALBAIRATE VERMEZZO,MORTARA,26.545
ALBAIRATE VERMEZZO,PC GAGGIANO,6.892
ALBAIRATE VERMEZZO,SARONNO,51.018
ALBAIRATE VERMEZZO,SEREGNO,49.413
ALBAIRATE VERMEZZO,SESTO S GIOVANNI,34.869
ALBAIRATE VERMEZZO,VIGEVANO,13.848
ALBANO LAZIALE,CIAMPINO,14.493
ALBANO LAZIALE,MARINO LAZIALE,5.877
ALBANO LAZIALE,ROMA OSTIENSE,29.388
ALBANO LAZIALE,ROMA S PIETRO,34.226
ALBANO LAZIALE,ROMA TERMINI,28.414
ALBANO LAZIALE,ROMA TIBURTINA,28.466
ALBANO LAZIALE,ROMA TUSCOLANA,25.778
ALBENGA,ARQUATA SCRIVIA,110.04
ALBENGA,COGOLETO,55.061
ALBENGA,GENOVA BRIGNOLE,82.308
ALBENGA,GENOVA PIAZZA PRINCIPE,79.669
ALBENGA,GENOVA SESTRI PONENTE AEROPORTO,73.104
ALBENGA,GENOVA VOLTRI,65.386
ALBENGA,MILANO CENTRALE,213.802
ALBENGA,MILANO LAMBRATE,210.004
ALBENGA,MILANO PORTA GARIBALDI,215.692
ALBENGA,MILANO ROGOREDO,204.216
ALBENGA,PAVIA,175.613
ALBENGA,SAVONA,37.351
ALBENGA,SESTRI LEVANTE,124.884
ALBENGA,TORINO PORTA NUOVA,184.594
ALBENGA,TORTONA,134.551
ALBENGA,VENTIMIGLIA,62.186
ALBENGA,VOGHERA,150.754
ALBIZZATE SOLBIATE ARNO,MALPENSA AEROPORTO T2,33.679
ALBIZZATE SOLBIATE ARNO,MILANO PORTA GARIBALDI,46.311
ALBIZZATE SOLBIATE ARNO,PIOLTELLO LIMITO,59.038
ALBIZZATE SOLBIATE ARNO,PORTO CERESIO,25.18
ALBIZZATE SOLBIATE ARNO,TREVIGLIO,79.791
ALBIZZATE SOLBIATE ARNO,VARESE,10.94
ALCAMO DIRAMAZIONE,CAMPOBELLO MAZARA,50.221
ALCAMO DIRAMAZIONE,CASTELVETRANO,41.755
ALCAMO DIRAMAZIONE,MARAUSA,102.432
ALCAMO DIRAMAZIONE,MARSALA,85.461
ALCAMO DIRAMAZIONE,MAZARA DEL VALLO,64.431
ALCAMO DIRAMAZIONE,MOZIA BIRGI,97.417
ALCAMO DIRAMAZIONE,PETROSINO STRASATTI,75.805
ALCAMO DIRAMAZIONE,SALEMI GIBELLINA,25.732
ALCAMO DIRAMAZIONE,TRAPANI,116.118
ALCANTARA,AUGUSTA,99.48
ALCANTARA,BICOCCA,50.869
ALCANTARA,CATANIA AEROPORTO FONTANAROSSA,48.634
ALCANTARA,CATANIA CENTRALE,43.442
ALCANTARA,LENTINI,71.983
ALCANTARA,MESSINA CENTRALE,51.329
ALCANTARA,SIRACUSA,126.396
ALESSANDRIA,ABBIATEGRASSO,65.628
ALESSANDRIA,ACQUI TERME,33.909
ALESSANDRIA,ALBAIRATE VERMEZZO,68.891
ALESSANDRIA,ALTARE,87.965
ALESSANDRIA,ANCONA,448.028
ALESSANDRIA,ARQUATA SCRIVIA,33.056
ALESSANDRIA,ASTI,34.296
ALESSANDRIA,BOLZANO,368.168
ALESSANDRIA,BORGO REVEL,70.58
ALESSANDRIA,BORGO S MARTINO,25.585
ALESSANDRIA,CAIRO MONTENOTTE,79.204
ALESSANDRIA,CASALE MONFERRATO,32.726
ALESSANDRIA,CASALE POPOLO,36.219
ALESSANDRIA,CASSINE,21.034
ALESSANDRIA,CAVA CARBONARA,55.731
ALESSANDRIA,CHIVASSO,81.126
ALESSANDRIA,CRESCENTINO,63.484
ALESSANDRIA,DEGO,72.013
ALESSANDRIA,FELIZZANO,14.528
ALESSANDRIA,FONTANETTO PO,57.065
ALESSANDRIA,GAMALERO,13.089
ALESSANDRIA,GENOVA BRIGNOLE,71.482
ALESSANDRIA,GENOVA PIAZZA PRINCIPE,68.843
ALESSANDRIA,GENOVA SAMPIERDARENA,67.667
ALESSANDRIA,GIAROLE,20.905
ALESSANDRIA,LOMELLO,32.886
ALESSANDRIA,MEDE,27.754
ALESSANDRIA,MERANA,62.535
ALESSANDRIA,MILANO CENTRALE,99.967
ALESSANDRIA,MILANO CERTOSA,104.588
ALESSANDRIA,MILANO GRECO PIRELLI,100.049
ALESSANDRIA,MILANO LAMBRATE,96.169
ALESSANDRIA,MILANO PORTA GARIBALDI,101.857
ALESSANDRIA,MILANO PORTA GENOVA,86.727
ALESSANDRIA,MILANO ROGOREDO,91.58
ALESSANDRIA,MILANO S CRISTOFORO,83.351
ALESSANDRIA,MOMBALDONE ROCCAVERANO,55.306
ALESSANDRIA,MORANO SUL PO,42.624
ALESSANDRIA,MORTARA,42.346
ALESSANDRIA,NOVARA,66.581
ALESSANDRIA,NOVI LIGURE,21.607
ALESSANDRIA,PARONA LOMELLINA,47.616
ALESSANDRIA,PAVIA,62.977
ALESSANDRIA,PIANA,67.433
ALESSANDRIA,PISA CENTRALE,230.108
ALESSANDRIA,ROMA TERMINI,559.399
ALESSANDRIA,S GIUSEPPE CAIRO,81.919
ALESSANDRIA,S PAOLO SOLBRITO,57.1
ALESSANDRIA,SAIRANO,53.595
ALESSANDRIA,SALERNO,816.739
ALESSANDRIA,SANNAZZARO,41.785
ALESSANDRIA,SAVONA,102.212
ALESSANDRIA,SEZZADIO,15.268
ALESSANDRIA,SOLERO,8.232
ALESSANDRIA,SPIGNO,59.411
ALESSANDRIA,SPINETTA,7.568
ALESSANDRIA,STREVI,27.808
ALESSANDRIA,TORINO LINGOTTO,85.757
ALESSANDRIA,TORINO PORTA NUOVA,90.075
ALESSANDRIA,TORINO STURA,97.466
ALESSANDRIA,TORREBERETTI,20.171
ALESSANDRIA,TORTONA,21.915
ALESSANDRIA,TRINO VERCELLESE,48.694
ALESSANDRIA,TROFARELLO,77.045
ALESSANDRIA,VALENZA,13.945
ALESSANDRIA,VEROLENGO,74.432
ALESSANDRIA,VIGEVANO,55.043
ALESSANDRIA,VILLAFRANCA CANTARANA,49.304
ALESSANDRIA,VILLANOVA D ASTI,59.915
ALESSANDRIA,VOGHERA,38.118
ALFONSINE,FERRARA,54.878
ALFONSINE,GAIBANELLA,45.085
ALFONSINE,RAVENNA,17.742
ALI TERME,CATANIA AEROPORTO FONTANAROSSA,76.153
ALI TERME,CATANIA CENTRALE,70.961
ALTARE,ACQUI TERME,54.056
ALTAVILLA MILICIA,PALERMO CENTRALE,20.368
ALTAVILLA MILICIA,TERMINI IMERESE,16.047
ALTAVILLA TAVERNELLE,VENEZIA S LUCIA,74.87
ALTOPASCIO,FIRENZE S MARIA NOVELLA,63.324
ALTOPASCIO,LUCCA,13.971
ALTOPASCIO,PISTOIA,29.884
ALTOPASCIO,VIAREGGIO,36.981
AMBIVERE MAPELLO,BERGAMO,11.572
AMBIVERE MAPELLO,CALOLZIOCORTE OLGINATE,14.474
AMBIVERE MAPELLO,LECCO,21.361
ANAGNI FIUGGI,CASSINO,75.476
ANAGNI FIUGGI,ROMA TERMINI,62.506
ANCONA,ALBACINA,61.992
ANCONA,ALESSANDRIA,448.028
ANCONA,AREZZO,245.025
ANCONA,ASCOLI PICENO,117.075
ANCONA,BAIANO SPOLETO,160.095
ANCONA,BARI CENTRALE,442.072
ANCONA,BOLOGNA CENTRALE,204.041
ANCONA,BOLZANO,459.829
ANCONA,BRENNERO,548.621
ANCONA,BRESCIA,377.531
ANCONA,CAPODACQUA PIEVE FANONICA,118.735
ANCONA,CASTEL S PIETRO TERME,180.962
ANCONA,CASTELBOLOGNESE RIOLO TERME,162.164
ANCONA,CASTELFRANCO EMILIA,229.049
ANCONA,CASTELPLANIO CUPRAMONTANA,41.469
ANCONA,CATTOLICA S GIOVANNI GABICCE,74.675
ANCONA,CESENA,121.372
ANCONA,CHIARAVALLE,15.941
ANCONA,CIVITANOVA MARCHE MONTEGRANARO,42.705
ANCONA,CORRIDONIA MOGLIANO,64.428
ANCONA,CUPRAMARITTIMA,76.587
ANCONA,FABRIANO,70.261
ANCONA,FAENZA,154.934
ANCONA,FALCONARA MARITTIMA,8.697
ANCONA,FANO,47.111
ANCONA,FIDENZA,316.446
ANCONA,FIORENZUOLA,329.904
ANCONA,FIRENZE S MARIA NOVELLA,255.598
ANCONA,FOGGIA,319.483
ANCONA,FOLIGNO,128.193
ANCONA,FORLI,139.223
ANCONA,FOSSATO VICO GUBBIO,86.435
ANCONA,FRANCAVILLA AL MARE,155.101
ANCONA,GAIFANA,99.368
ANCONA,GENGA S VITTORE TERME,54.613
ANCONA,GIULIANOVA,108.359
ANCONA,GUALDO TADINO,92.271
ANCONA,IMOLA,169.94
ANCONA,JESI,26.723
ANCONA,LECCE,591.359
ANCONA,LORETO,23.502
ANCONA,MACERATA,69.887
ANCONA,MANOPPELLO,170.08
ANCONA,MAROTTA MONDOLFO,34.885
ANCONA,MARTINSICURO,92.327
ANCONA,MATELICA,74.334
ANCONA,MILANO CENTRALE,418.743
ANCONA,MILANO LAMBRATE,414.945
ANCONA,MILANO PORTA GARIBALDI,420.633
ANCONA,MILANO ROGOREDO,409.157
ANCONA,MODENA,240.973
ANCONA,MONTECOSARO,50.157
ANCONA,MONTEMARCIANO,13.434
ANCONA,MONTESILVANO,138.991
ANCONA,MORROVALLE MONTE S GIUSTO,55.516
ANCONA,NOCERA UMBRA,109.563
ANCONA,OFFIDA CASTEL LAMA,105.091
ANCONA,ORTE,210.069
ANCONA,OSIMO CASTELFIDARDO,15.19
ANCONA,PARMA,294.433
ANCONA,PEDASO,68.537
ANCONA,PERGOLA,101.866
ANCONA,PERUGIA,167.773
ANCONA,PESARO,59.574
ANCONA,PESCARA,145.973
ANCONA,PESCARA PORTA NUOVA,147.313
ANCONA,PIACENZA,351.515
ANCONA,PINETO ATRI,126.734
ANCONA,PISA BINARI FM CAMPALDO,336.261
ANCONA,PORTO D ASCOLI,89.277
ANCONA,PORTO S GIORGIO FERMO,58.299
ANCONA,PRATOLA PELIGNA,208.731
ANCONA,REGGIO EMILIA,266.127
ANCONA,RIMINI,92.954
ANCONA,ROMA S PIETRO,299.17
ANCONA,ROMA TERMINI,291.47
ANCONA,ROMA TIBURTINA,286.965
ANCONA,ROSETO DEGLI ABRUZZI,117.664
ANCONA,RUBIERA,254.277
ANCONA,S BENEDETTO DEL TRONTO,84.493
ANCONA,S GIUSEPPE CAIRO,528.851
ANCONA,S ILARIO D ENZA,283.57
ANCONA,S SEVERINO MARCHE,92.987
ANCONA,SANTARCANGELO ROMAGNA,102.723
ANCONA,SENIGALLIA,25.838
ANCONA,SERRA S QUIRICO,47.715
ANCONA,SPOLETO,153.313
ANCONA,SULMONA,214.306
ANCONA,TARVISIO BOSCOVERDE,533.902
ANCONA,TAVAZZANO,395.101
ANCONA,TERNI,182.543
ANCONA,TOLENTINO,88.31
ANCONA,TORINO PORTA NUOVA,538.103
ANCONA,VARANO,5.504
ANCONA,VENEZIA MESTRE,319.658
ANCONA,VENEZIA S LUCIA,328.092
ANCONA,VERONA PORTA NUOVA,318.048
ANCONA,VIPITENO VAL VIZZE,527.268
ANDORA,SAVONA,49.58
ANDORA,TORINO PORTA NUOVA,196.823
ANDORA,VENTIMIGLIA,49.957
ANGUILLARA,LA STORTA,11.659
ANGUILLARA,ROMA OSTIENSE,31.241
ANGUILLARA,ROMA TIBURTINA,38.608
