partenza,arrivo,corse,con_misura,con_durata,durata_tot,ritardo_tot,in_ritardo,mesi,primo_mese,ultimo_mese,km,qualita_km,durata_media_min,ritardo_medio_min,min_per_100km,ritardo_per_100km,km_h_programmati,km_h_effettivi,pct_ritardo,attraversa_stretto
EBOLI,NOCERA INFERIORE,474,457,474,46173.0000,2470,197,53,2019-10,2026-07,40.7500,ufficiale,97.4114,5.4048,239.0464,13.2633,25.0997,23.7803,43.1072,False
MILANO S CRISTOFORO,SARONNO,1203,1192,1203,102239.0000,30787,1062,65,2019-10,2026-07,36.5600,ufficiale,84.9867,25.8280,232.4582,70.6456,25.8111,19.7952,89.0940,False
CASTELLAMMARE STABIA,NAPOLI CAMPI FLEGREI,6921,6453,6914,553122.0000,7063,413,77,2019-10,2026-07,36.3500,ufficiale,80.0003,1.0945,220.0833,3.0111,27.2624,26.8944,6.4001,False
COSTA MASNAGA,MILANO PORTA GARIBALDI,771,767,771,66216.0000,1637,71,7,2020-08,2024-08,39.1000,ufficiale,85.8833,2.1343,219.6503,5.4585,27.3161,26.6538,9.2568,False
GENOVA VOLTRI,RECCO,5892,5547,5889,440494.0000,12445,975,81,2019-10,2026-07,34.4000,ufficiale,74.7995,2.2436,217.4403,6.5220,27.5938,26.7902,17.5771,False
GERMAGNANO,TORINO LINGOTTO,635,629,635,55732.0000,1904,69,13,2025-05,2026-07,41.1800,ufficiale,87.7669,3.0270,213.1300,7.3507,28.1518,27.2133,10.9698,False
ALBAIRATE VERMEZZO,SARONNO,55939,54170,55925,6037216.0000,116430,7358,77,2019-10,2026-07,51.0200,ufficiale,107.9520,2.1493,211.5876,4.2127,28.3570,27.8035,13.5832,False
LECCO MAGGIANICO,MONZA,11131,10984,11129,851420.0000,46513,2474,81,2019-10,2026-07,36.7900,ufficiale,76.5046,4.2346,207.9495,11.5102,28.8532,27.3399,22.5237,False
NAPOLI CAMPI FLEGREI,TORRE ANNUNZIATA CENTRALE,10382,10056,10368,655884.0000,16517,863,79,2019-10,2026-07,30.6400,ufficiale,63.2604,1.6425,206.4635,5.3606,29.0608,28.3254,8.5819,False
AULLA LUNIGIANA,PISA CENTRALE,13296,13103,13296,2070851.0000,40789,2447,68,2019-10,2026-07,77.5200,ufficiale,155.7499,3.1130,200.9158,4.0157,29.8633,29.2781,18.6751,False
MILANO PORTA GARIBALDI,MOLTENO,1680,1618,1679,138504.0000,4641,294,76,2019-10,2026-07,41.7900,ufficiale,82.4920,2.8684,197.3964,6.8637,30.3957,29.3743,18.1706,False
ARQUATA SCRIVIA,GENOVA BRIGNOLE,55113,47600,55101,4179563.0000,66544,3933,82,2019-10,2026-07,38.4300,ufficiale,75.8528,1.3980,197.3790,3.6377,30.3984,29.8483,8.2626,False
ALBAIRATE VERMEZZO,MILANO PORTA GARIBALDI,9648,9319,9643,625305.0000,17829,1161,77,2019-10,2026-07,32.9700,ufficiale,64.8455,1.9132,196.6803,5.8028,30.5064,29.6321,12.4584,False
BORGO S LORENZO,FIRENZE RIFREDI,1931,1907,1931,140868.0000,3877,188,82,2019-10,2026-07,37.1000,ufficiale,72.9508,2.0330,196.6329,5.4799,30.5137,29.6864,9.8584,False
BESANA,MILANO PORTA GARIBALDI,2485,2383,2485,150958.0000,2606,141,73,2019-10,2026-07,31.1500,ufficiale,60.7477,1.0936,195.0166,3.5107,30.7666,30.2225,5.9169,False
MARIANO COMENSE,MILANO ROGOREDO,784,739,784,53032.0000,3953,347,54,2019-10,2025-12,34.7700,ufficiale,67.6429,5.3491,194.5437,15.3843,30.8414,28.5812,46.9553,False
GENOVA SESTRI PONENTE,SESTRI LEVANTE,1294,1260,1294,127386.0000,4402,248,39,2019-10,2025-03,50.8800,stimata,98.4436,3.4937,193.4819,6.8665,31.0107,29.9478,19.6825,False
BORGO S LORENZO,FIRENZE S MARIA NOVELLA,96181,94414,96177,6354042.0000,201533,11395,82,2019-10,2026-07,34.3300,ufficiale,66.0661,2.1346,192.4443,6.2178,31.1779,30.2020,12.0692,False
MEDA,MILANO ROGOREDO,1717,1578,1717,100748.0000,5200,392,47,2019-10,2026-04,30.8600,ufficiale,58.6768,3.2953,190.1386,10.6783,31.5559,29.8780,24.8416,False
ARQUATA SCRIVIA,GENOVA PIAZZA PRINCIPE,929,613,929,62446.0000,1383,69,17,2025-03,2026-07,35.7900,ufficiale,67.2185,2.2561,187.8137,6.3038,31.9466,30.9091,11.2561,False
ARQUATA SCRIVIA,GENOVA P PRINCIPE,401,359,401,26538.0000,1918,89,31,2019-10,2025-03,35.4100,confermata,66.1796,5.3426,186.8951,15.0879,32.1036,29.7055,24.7911,False
NAPOLI CAMPI FLEGREI,NOCERA INFERIORE,6918,6704,6918,583171.0000,13067,638,63,2019-10,2026-07,45.2000,ufficiale,84.2976,1.9491,186.4992,4.3122,32.1717,31.4447,9.5167,False
CESANO ROMA,ROMA TIBURTINA,73962,72579,73945,4880497.0000,99578,4845,82,2019-10,2026-07,35.5600,ufficiale,66.0017,1.3720,185.6066,3.8583,32.3264,31.6681,6.6755,False
CINISI TERRASINI,PALERMO CENTRALE,1191,1189,1191,83753.0000,1196,45,51,2019-10,2024-11,37.9800,ufficiale,70.3216,1.0059,185.1542,2.6485,32.4054,31.9484,3.7847,False
NAPOLI CAMPI FLEGREI,SALERNO,97294,81176,97268,10692362.0000,120158,6584,77,2019-10,2026-07,60.0200,ufficiale,109.9268,1.4802,183.1503,2.4662,32.7600,32.3247,8.1108,False
LA SPEZIA MIGLIARINA,SESTRI LEVANTE,1665,1208,1665,134579.0000,2850,204,17,2023-07,2026-07,44.2700,ufficiale,80.8282,2.3593,182.5801,5.3293,32.8623,31.9303,16.8874,False
LEVANTO,SAVONA,1698,1672,1698,335903.0000,3282,226,81,2019-10,2026-07,108.8200,ufficiale,197.8227,1.9629,181.7889,1.8038,33.0053,32.6810,13.5167,False
GENOVA VOLTRI,SESTRI LEVANTE,1615,1608,1615,173346.0000,4898,261,79,2019-10,2026-06,59.5000,ufficiale,107.3350,3.0460,180.3949,5.1194,33.2604,32.3425,16.2313,False
GENOVA BRIGNOLE,NOVI LIGURE,10079,9937,10079,903660.0000,21894,1307,82,2019-10,2026-07,49.8800,ufficiale,89.6577,2.2033,179.7468,4.4172,33.3803,32.5797,13.1529,False
ANGUILLARA,ROMA OSTIENSE,580,568,580,32544.0000,1411,57,60,2019-11,2026-07,31.2400,ufficiale,56.1103,2.4842,179.6106,7.9518,33.4056,31.9894,10.0352,False
BOLOGNA CENTRALE,VIGNOLA,36551,36227,36550,2121430.0000,70066,3750,73,2019-10,2026-07,32.3800,ufficiale,58.0419,1.9341,179.2522,5.9731,33.4724,32.3930,10.3514,False
