cod_stazione,nome_stazione
S12002,PALERMO CENTRALE
S12301,MESSINA CENTRALE
S08411,FIUMICINO AEROPORTO
S01307,COMO S.GIOVANNI
S01645,MILANO PORTA GARIBALDI
S01030,GALLARATE
S01807,VOGHERA
S02038,TRENTO
S02430,VERONA PORTA NUOVA
