mese,categoria,cod_stazione,ruolo,parzialmente_cancellate,minuti_ritardo_tot,corse_osservate,minuti_anticipo_tot,soppresse,in_anticipo,cancellate,effettuate,oltre_60,in_ritardo,minuti_netti_tot,oltre_15,cancellate_tot,in_orario,info_mancante,oltre_30,oltre_5,oltre_10,nome_stazione,p90,p95,ritardo_mediano,ritardo_medio
2024-06,EN,S08409,arrivo,0,1.0,1,0.0,0,0,0,1,0,0,1.0,0,0,1,0,0,0,0,ROMA TERMINI,1.0,1.0,1.0,1.0
2024-06,EXP,N_25B9CF10B7D2,arrivo,0,0.0,1,3.0,0,1,0,1,0,0,-3.0,0,0,0,0,0,0,0,BOLOGNA C.LE,-3.0,-3.0,-3.0,-3.0
2024-06,EXP,N_25B9CF10B7D2,partenza,0,8.0,1,0.0,0,0,0,1,0,1,8.0,0,0,0,0,0,1,0,BOLOGNA C.LE,8.0,8.0,8.0,8.0
2024-06,EXP,N_26FAC2401D1E,arrivo,0,0.0,1,0.0,0,0,0,1,0,0,0.0,0,0,1,0,0,0,0,VENEZIA SANTA LUCIA,0.0,0.0,0.0,0.0
2024-06,EXP,N_26FAC2401D1E,partenza,0,270.0,3,0.0,0,0,0,3,1,3,270.0,2,0,0,0,2,3,2,VENEZIA SANTA LUCIA,186.0,204.5,38.0,90.0
2024-06,EXP,N_DEBAB2A3D4C0,arrivo,0,4.0,1,0.0,0,0,0,1,0,0,4.0,0,0,1,0,0,0,0,REGGIO CALABRIA CENTRALE,4.0,4.0,4.0,4.0
2024-06,EXP,N_DEBAB2A3D4C0,partenza,0,14.0,1,0.0,0,0,0,1,0,1,14.0,0,0,0,0,0,1,1,REGGIO CALABRIA CENTRALE,14.0,14.0,14.0,14.0
2024-06,EXP,S01700,arrivo,0,8.0,1,0.0,0,0,0,1,0,1,8.0,0,0,0,0,0,1,0,MILANO CENTRALE,8.0,8.0,8.0,8.0
2024-06,EXP,S01700,partenza,0,0.0,1,3.0,0,1,0,1,0,0,-3.0,0,0,0,0,0,0,0,MILANO CENTRALE,-3.0,-3.0,-3.0,-3.0
2024-06,EXP,S02001,arrivo,0,223.0,1,0.0,0,0,0,1,1,1,223.0,1,0,0,0,1,1,1,BRENNERO,223.0,223.0,223.0,223.0
2024-06,EXP,S02430,arrivo,0,47.0,2,0.0,0,0,0,2,0,2,47.0,1,0,0,0,1,2,1,VERONA PORTA NUOVA,35.1,36.55,23.5,23.5
2024-06,EXP,S02430,partenza,0,0.0,1,0.0,0,0,0,1,0,0,0.0,0,0,1,0,0,0,0,VERONA PORTA NUOVA,0.0,0.0,0.0,0.0
2024-06,EXP,S02550,arrivo,0,189.0,2,1.0,0,1,0,2,1,1,188.0,1,0,0,0,1,1,1,CALALZO PIEVE CADORE CORTINA,170.0,179.5,94.0,94.0
2024-06,EXP,S02550,partenza,0,17.0,2,26.0,0,1,0,2,0,1,-9.0,1,0,0,0,0,1,1,CALALZO PIEVE CADORE CORTINA,12.700000000000005,14.85,-4.5,-4.5
2024-06,EXP,S02589,arrivo,0,0.0,1,4.0,0,1,0,1,0,0,-4.0,0,0,0,0,0,0,0,VENEZIA MESTRE,-4.0,-4.0,-4.0,-4.0
2024-06,EXP,S04501,arrivo,0,0.0,1,40.0,0,1,0,1,0,0,-40.0,0,0,0,0,0,0,0,VENTIMIGLIA,-40.0,-40.0,-40.0,-40.0
2024-06,EXP,S04501,partenza,0,4.0,2,4.0,0,1,0,2,0,0,0.0,0,0,1,0,0,0,0,VENTIMIGLIA,3.2,3.6,0.0,0.0
2024-06,EXP,S04702,partenza,0,0.0,1,6.0,0,1,0,1,0,0,-6.0,0,0,0,0,0,0,0,GENOVA BRIGNOLE,-6.0,-6.0,-6.0,-6.0
2024-06,EXP,S06922,arrivo,0,14.0,1,0.0,0,0,0,1,0,1,14.0,0,0,0,0,0,1,1,TERONTOLA CORTONA,14.0,14.0,14.0,14.0
2024-06,EXP,S08409,arrivo,0,17.0,2,26.0,0,1,0,2,0,1,-9.0,1,0,0,0,0,1,1,ROMA TERMINI,12.700000000000005,14.85,-4.5,-4.5
2024-06,EXP,S08409,partenza,0,189.0,2,1.0,0,1,0,2,1,1,188.0,1,0,0,0,1,1,1,ROMA TERMINI,170.0,179.5,94.0,94.0
2024-06,EXP,S09211,arrivo,0,0.0,1,6.0,0,1,0,1,0,0,-6.0,0,0,0,0,0,0,0,CASERTA,-6.0,-6.0,-6.0,-6.0
2024-06,EXP,S12002,arrivo,0,0.0,1,1.0,0,1,0,1,0,0,-1.0,0,0,0,0,0,0,0,PALERMO CENTRALE,-1.0,-1.0,-1.0,-1.0
2024-06,EXP,S12002,partenza,0,0.0,1,40.0,0,1,0,1,0,0,-40.0,0,0,0,0,0,0,0,PALERMO CENTRALE,-40.0,-40.0,-40.0,-40.0
2024-06,EXP,S12301,partenza,0,0.0,1,1.0,0,1,0,1,0,0,-1.0,0,0,0,0,0,0,0,MESSINA CENTRALE,-1.0,-1.0,-1.0,-1.0
