mese,categoria,cod_stazione,in_ritardo,minuti_ritardo_tot,in_orario,cancellate,parzialmente_cancellate,oltre_5,cancellate_tot,oltre_15,minuti_netti_tot,soppresse,minuti_anticipo_tot,effettuate,oltre_60,in_anticipo,oltre_30,corse_osservate,info_mancante,oltre_10,ruolo,nome_stazione,p90,ritardo_mediano,p95,ritardo_medio
2024-06,EXP,S12002,0,0.0,0,0,0,0,0,0,-41.0,0,41.0,2,0,2,0,2,0,0,nodo,PALERMO CENTRALE,-20.5,-20.5,-20.5,-20.5
2024-06,EXP,S12301,0,0.0,0,0,0,0,0,0,-1.0,0,1.0,1,0,1,0,1,0,0,nodo,MESSINA CENTRALE,-1.0,-1.0,-1.0,-1.0
2024-06,IC,N_25B9CF10B7D2,92,2460.0,54,0,0,92,0,45,2254.0,0,206.0,197,9,49,19,197,0,62,nodo,BOLOGNA C.LE,30.90000000000001,4.25,50.57499999999998,11.398165717900063
2024-06,IC,N_54735EC5B62B,3,555.0,1,0,0,3,0,3,552.0,0,3.0,5,2,1,2,5,0,3,nodo,VILLA SAN GIOVANNI,147.85000000000002,133.25,149.675,135.91666666666666
2024-06,IC,N_66EFE7185ACC,17,503.0,7,0,0,17,0,7,461.0,0,42.0,38,3,14,4,38,0,11,nodo,GENOVA P.PRINCIPE,40.9,2.0,58.999999999999986,11.166666666666666
2024-06,IC,N_6DAD4A05816E,23,434.0,14,0,0,23,0,10,353.0,0,81.0,57,0,20,5,57,0,17,nodo,FIRENZE S.M.N.,25.85000000000001,2.25,38.3,6.844017094017094
2024-06,IC,N_DEBAB2A3D4C0,103,2627.0,80,0,0,103,0,56,1961.0,0,666.0,298,9,115,28,298,0,71,nodo,REGGIO CALABRIA CENTRALE,25.75,0.5,48.85,6.509299386059949
2024-06,IC,N_FEBDC4EA7CA2,46,780.0,42,0,0,46,0,14,594.0,0,186.0,135,1,47,5,135,0,21,nodo,TORINO P.NUOVA,12.85,2.5,20.52499999999999,4.381822183098592
2024-06,IC,S00202,7,80.0,1,0,0,7,0,1,58.0,0,22.0,15,0,6,0,15,0,5,nodo,BARDONECCHIA,13.6,2.0,14.799999999999995,4.142857142857142
2024-06,IC,S00470,0,4.0,1,0,0,0,0,0,4.0,0,0.0,1,0,0,0,1,0,0,nodo,ALESSANDRIA,4.0,4.0,4.0,4.0
2024-06,IC,S01645,13,529.0,2,0,0,13,0,9,510.0,0,19.0,20,3,5,5,20,0,11,nodo,MILANO PORTA GARIBALDI,67.00000000000006,11.0,104.70000000000002,25.5
2024-06,IC,S01700,524,14304.0,168,0,0,524,0,258,13698.0,0,606.0,859,49,161,143,859,0,355,nodo,MILANO CENTRALE,41.5,7.5,61.94999999999999,15.912190709424054
2024-06,IC,S02011,1,38.0,1,0,0,1,0,1,38.0,0,0.0,2,0,0,1,2,0,1,nodo,FORTEZZA,19.0,19.0,19.0,19.0
2024-06,IC,S02026,4,221.0,3,0,0,4,0,3,206.0,0,15.0,11,1,4,1,11,0,3,nodo,BOLZANO,53.8,1.0,73.65,17.4
2024-06,IC,S02114,2,39.0,0,0,0,2,0,1,39.0,0,0.0,2,0,0,1,2,0,1,nodo,S.CANDIDO,31.1,19.5,32.55,19.5
2024-06,IC,S03317,40,1228.0,39,0,0,40,0,20,1143.0,0,85.0,104,6,24,10,104,0,26,nodo,TRIESTE CENTRALE,36.65000000000002,3.5,56.024999999999935,11.406273620559336
2024-06,IC,S04203,1,13.0,0,0,0,1,0,0,11.0,0,2.0,3,0,1,0,3,0,1,nodo,NOVI LIGURE,5.5,5.5,5.5,5.5
2024-06,IC,S04501,171,3992.0,37,0,0,171,0,90,3937.0,0,55.0,230,7,21,43,230,0,124,nodo,VENTIMIGLIA,36.25000000000001,12.5,46.29999999999998,16.196114996114996
2024-06,IC,S04702,10,110.0,13,0,0,10,0,1,27.0,0,83.0,39,0,16,0,39,0,3,nodo,GENOVA BRIGNOLE,6.65,0.0,10.325000000000005,0.6394736842105264
2024-06,IC,S04725,16,593.0,14,0,0,16,0,6,563.0,0,30.0,42,3,12,4,42,0,9,nodo,SESTRI LEVANTE,45.0,3.5,46.0,13.404761904761902
2024-06,IC,S04801,11,145.0,7,0,0,11,0,4,127.0,0,18.0,26,0,7,0,26,0,5,nodo,SAVONA,15.050000000000002,3.25,19.5,5.080128205128204
2024-06,IC,S05058,0,3.0,1,0,0,0,0,0,3.0,0,0.0,1,0,0,0,1,0,0,nodo,FAENZA,3.0,3.0,3.0,3.0
2024-06,IC,S06000,57,1229.0,17,0,0,57,0,22,1188.0,0,41.0,87,3,12,11,87,0,36,nodo,LA SPEZIA CENTRALE,34.75000000000001,7.75,44.99999999999999,13.869588744588745
2024-06,IC,S06026,1,28.0,0,0,0,1,0,1,26.0,0,2.0,2,0,1,0,2,0,1,nodo,CECINA,13.0,13.0,13.0,13.0
2024-06,IC,S06039,25,431.0,5,0,0,25,0,11,371.0,0,60.0,45,0,15,4,45,0,16,nodo,GROSSETO,23.85000000000001,4.0,29.7,8.375494071146246
2024-06,IC,S06416,58,1397.0,21,0,0,58,0,33,1321.0,0,76.0,97,4,18,14,97,0,44,nodo,PRATO CENTRALE,32.4,8.0,44.67499999999997,13.09815668202765
2024-06,IC,S06500,0,1.0,1,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,nodo,PISA CENTRALE,1.0,1.0,1.0,1.0
2024-06,IC,S06725,116,2465.0,44,0,0,116,0,48,2330.0,0,135.0,212,8,51,28,212,0,74,nodo,LIVORNO CENTRALE,32.65000000000001,5.25,46.22499999999999,10.97018018018018
2024-06,IC,S06915,2,215.0,0,0,0,2,0,2,215.0,0,0.0,2,2,0,2,2,0,2,nodo,AREZZO,107.5,107.5,107.5,107.5
2024-06,IC,S07004,23,410.0,11,0,0,23,0,6,406.0,0,4.0,38,1,4,3,38,0,13,nodo,PERUGIA,19.5,7.0,31.949999999999903,10.68421052631579
2024-06,IC,S07113,15,565.0,17,0,0,15,0,7,506.0,0,59.0,52,3,20,6,52,0,10,nodo,ANCONA,25.90000000000004,1.0,39.39999999999999,9.411851851851852
2024-06,IC,S07217,0,2.0,1,0,0,0,0,0,2.0,0,0.0,1,0,0,0,1,0,0,nodo,FOLIGNO,2.0,2.0,2.0,2.0
2024-06,IC,S07226,37,785.0,6,0,0,37,0,22,778.0,0,7.0,45,2,2,8,45,0,32,nodo,TERNI,31.450000000000006,14.25,46.42499999999998,17.384387351778656
2024-06,IC,S07503,2,44.0,0,0,0,2,0,2,44.0,0,0.0,2,0,0,0,2,0,2,nodo,LORETO,22.0,22.0,22.0,22.0
2024-06,IC,S07513,21,471.0,9,0,0,21,0,12,426.0,0,45.0,40,0,10,5,40,0,14,nodo,S.BENEDETTO DEL TRONTO,31.00000000000001,3.25,40.650000000000006,10.65
2024-06,IC,S07810,34,566.0,8,0,0,34,0,10,562.0,0,4.0,45,2,3,5,45,0,15,nodo,PESCARA,24.75000000000001,7.75,38.12499999999999,12.512845849802373
2024-06,IC,S08409,279,7223.0,235,0,0,279,0,134,6171.0,0,1052.0,743,27,228,77,743,0,182,nodo,ROMA TERMINI,30.05000000000001,2.5,52.475,8.293704565280605
2024-06,IC,S08608,1,21.0,0,0,0,1,0,1,21.0,0,0.0,1,0,0,0,1,0,1,nodo,LATINA,21.0,21.0,21.0,21.0
2024-06,IC,S09003,1,7.0,0,0,0,1,0,0,7.0,0,0.0,1,0,0,0,1,0,0,nodo,VILLA LITERNO,7.0,7.0,7.0,7.0
2024-06,IC,S09218,55,1846.0,29,0,0,55,0,30,1736.0,0,110.0,114,9,30,18,114,0,38,nodo,NAPOLI CENTRALE,36.90000000000002,5.0,71.25,16.288241074353095
2024-06,IC,S09818,41,800.0,43,0,0,41,0,16,498.0,0,302.0,145,1,61,6,145,0,22,nodo,SALERNO,14.700000000000003,0.0,23.89999999999999,3.3617467581998475
2024-06,IC,S09823,12,179.0,21,0,0,12,0,4,131.0,0,48.0,42,0,9,2,42,0,4,nodo,BATTIPAGLIA,8.0,1.5,12.0,3.119047619047619
2024-06,IC,S11119,62,2191.0,24,0,0,62,0,42,2124.0,0,67.0,107,10,21,25,107,0,54,nodo,BARI CENTRALE,58.75,9.0,74.875,19.54619364375462
2024-06,IC,S11145,89,3313.0,50,0,0,89,0,50,3061.0,0,252.0,201,17,62,29,201,0,62,nodo,LECCE,52.24999999999997,3.5,90.89999999999998,15.401881720430108
2024-06,IC,S11461,1,93.0,0,0,0,1,0,1,93.0,0,0.0,1,1,0,1,1,0,1,nodo,METAPONTO,93.0,93.0,93.0,93.0
2024-06,IC,S11465,34,755.0,8,0,0,34,0,21,674.0,0,81.0,57,2,15,5,57,0,26,nodo,TARANTO,26.45000000000001,7.5,46.07499999999993,11.564814814814817
2024-06,IC,S11702,1,9.0,0,0,0,1,0,0,9.0,0,0.0,1,0,0,0,1,0,0,nodo,CAPACCIO ROCCADASPIDE,9.0,9.0,9.0,9.0
2024-06,IC,S11811,0,0.0,0,0,0,0,0,0,-2.0,0,2.0,1,0,1,0,1,0,0,nodo,SIBARI,-2.0,-2.0,-2.0,-2.0
2024-06,IC,S11833,4,63.0,2,0,0,4,0,3,43.0,0,20.0,10,0,4,0,10,0,3,nodo,CATANZARO LIDO,13.2,4.75,15.35,5.458333333333333
2024-06,IC,S11847,0,1.0,1,0,0,0,0,0,1.0,0,0.0,1,0,0,0,1,0,0,nodo,ROCCELLA JONICA,1.0,1.0,1.0,1.0
2024-06,IC,S11851,1,5.0,0,0,0,1,0,0,5.0,0,0.0,1,0,0,0,1,0,0,nodo,LOCRI,5.0,5.0,5.0,5.0
2024-06,IC,S12002,31,769.0,18,0,0,31,0,13,509.0,0,260.0,70,5,20,8,70,0,18,nodo,PALERMO CENTRALE,38.150000000000006,0.5,62.92499999999999,7.036225402504472
2024-06,IC,S12022,1,121.0,0,0,0,1,0,1,121.0,0,0.0,1,1,0,1,1,0,1,nodo,TUSA,121.0,121.0,121.0,121.0
2024-06,IC,S12301,53,1526.0,24,0,0,53,0,27,1267.0,0,259.0,97,7,19,18,97,0,36,nodo,MESSINA CENTRALE,40.90000000000002,6.5,68.1,13.0359477124183
2024-06,IC,S12349,79,3727.0,30,0,0,79,0,48,3604.0,0,123.0,134,20,25,39,134,0,60,nodo,SIRACUSA,70.75,7.0,91.45,27.104166666666664
2024-06,ICN,N_DEBAB2A3D4C0,7,132.0,11,0,0,7,0,3,118.0,0,14.0,24,0,6,1,24,0,6,nodo,REGGIO CALABRIA CENTRALE,7.00000000000001,-0.75,7.925,0.4090909090909091
2024-06,ICN,N_FEBDC4EA7CA2,41,776.0,36,0,0,41,0,16,690.0,0,86.0,104,1,27,4,104,0,25,nodo,TORINO P.NUOVA,12.099999999999998,1.5,16.599999999999994,4.599493670886075
2024-06,ICN,S01700,45,800.0,7,0,0,45,0,19,752.0,0,48.0,62,1,10,7,62,0,29,nodo,MILANO CENTRALE,15.400000000000002,3.5,21.999999999999964,5.265536723163842
2024-06,ICN,S02114,5,389.0,4,0,0,5,0,4,387.0,0,2.0,11,2,2,4,11,0,4,nodo,S.CANDIDO,104.45000000000005,5.75,125.97499999999997,39.64285714285714
2024-06,ICN,S03317,11,294.0,14,0,0,11,0,5,286.0,0,8.0,32,1,7,3,32,0,7,nodo,TRIESTE CENTRALE,23.50000000000001,2.25,36.32499999999997,8.357142857142858
2024-06,ICN,S08409,40,1772.0,26,0,0,40,0,27,1636.0,0,136.0,95,8,29,20,95,0,29,nodo,ROMA TERMINI,38.35,2.75,65.27499999999996,15.974798387096772
2024-06,ICN,S09818,24,487.0,19,0,0,24,0,9,431.0,0,56.0,59,1,16,3,59,0,10,nodo,SALERNO,14.650000000000002,3.0,17.299999999999997,6.011904761904762
2024-06,ICN,S11145,43,675.0,11,0,0,43,0,15,611.0,0,64.0,69,1,15,4,69,0,29,nodo,LECCE,11.450000000000006,3.0,15.674999999999994,3.7936507936507935
2024-06,ICN,S12002,19,671.0,17,0,0,19,0,12,152.0,0,519.0,84,5,48,6,84,0,19,nodo,PALERMO CENTRALE,32.50000000000004,-2.5,50.69999999999997,1.563265306122449
