giorno,categoria,cod_partenza,cod_arrivo,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95,nome_partenza,nome_arrivo
2025-09-30,FA,S08409,S04700,1,1,0,0,0,0,0,1,0,1,1,1,1,0,35,0,35,35.0,35.0,35.0,35.0,ROMA TERMINI,GENOVA PIAZZA PRINCIPE
2025-09-30,FR,S01700,S09218,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-7,-7.0,-7.0,-7.0,-7.0,MILANO CENTRALE,NAPOLI CENTRALE
2025-09-30,FR,S02593,S09218,1,1,0,0,0,0,0,1,0,1,1,1,1,0,47,0,47,47.0,47.0,47.0,47.0,VENEZIA S.LUCIA,NAPOLI CENTRALE
2025-09-30,FR,S08409,S01700,1,1,0,0,0,0,0,1,0,1,0,0,0,0,7,0,7,7.0,7.0,7.0,7.0,ROMA TERMINI,MILANO CENTRALE
2025-09-30,FR,S08409,S09218,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1.0,1.0,1.0,1.0,ROMA TERMINI,NAPOLI CENTRALE
2025-09-30,IC,S01700,S04501,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,MILANO CENTRALE,VENTIMIGLIA
2025-09-30,IC,S01700,S06000,1,1,0,0,0,0,0,1,0,1,1,0,0,0,11,0,11,11.0,11.0,11.0,11.0,MILANO CENTRALE,LA SPEZIA CENTRALE
2025-09-30,IC,S01700,S09818,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,22,-22,-22.0,-22.0,-22.0,-22.0,MILANO CENTRALE,SALERNO
2025-09-30,IC,S01700,S12349,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,3.0,3.0,3.0,3.0,MILANO CENTRALE,SIRACUSA
2025-09-30,IC,S06421,S07226,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6,-6,-6.0,-6.0,-6.0,-6.0,FIRENZE SANTA MARIA NOVELLA,TERNI
2025-09-30,IC,S08409,S12349,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,21,-21,-10.5,-10.5,-4.5,-3.750000000000001,ROMA TERMINI,SIRACUSA
2025-09-30,IC,S09218,S04725,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,-2,-2.0,-2.0,-2.0,-2.0,NAPOLI CENTRALE,SESTRI LEVANTE
