mese,corse_osservate,effettuate,cancellate,soppresse,parzialmente_cancellate,info_mancante,in_orario,in_ritardo,in_anticipo,oltre_5,oltre_10,oltre_15,oltre_30,oltre_60,minuti_ritardo_tot,minuti_anticipo_tot,minuti_netti_tot,ritardo_medio,ritardo_mediano,p90,p95
2025-12,77,77.0,0.0,0.0,0.0,0,21,9,47,9,5,2,2,1,206,197,9,0.1168831168831168,-1.0,5.400000000000006,10.600000000000009
2026-01,5475,5475.0,0.0,0.0,0.0,0,2176,591,2708,591,255,180,84,20,12514,7735,4779,0.8728767123287671,0.0,5.0,9.0
2026-02,8065,8065.0,0.0,0.0,0.0,0,3536,1276,3253,1276,541,382,195,98,30807,8574,22233,2.756726596404216,0.0,7.0,14.0
