mese,tipo_giorno,fascia_oraria,categoria,oltre_5,info_mancante,oltre_30,corse_osservate,cancellate,effettuate,in_ritardo,in_orario,in_anticipo,oltre_60,parzialmente_cancellate,minuti_netti_tot,soppresse,cancellate_tot,minuti_anticipo_tot,oltre_10,minuti_ritardo_tot,oltre_15,ritardo_mediano,p90,p95,ritardo_medio
2024-06,infrasettimanale,tarda_mattina,ICN,16,0,3,31,0,31,16,6,9,1,0,346.0,0,0,30.0,14,376.0,10,7.0,29.0,37.0,11.161290322580646
2024-06,infrasettimanale,tarda_mattina,MET,56,0,0,912,0,912,56,318,535,0,0,-238.0,0,0,1223.0,19,985.0,7,-1.0,3.0,5.0,-0.2618261826182618
2024-06,infrasettimanale,tarda_mattina,NCL,0,0,0,2,0,2,0,0,2,0,0,-85.0,0,0,85.0,0,0.0,0,-42.5,-27.7,-25.85,-42.5
2024-06,infrasettimanale,tarda_mattina,REG,4984,0,368,29665,0,29665,4984,13446,11118,95,0,59473.0,0,0,28129.0,1965,87602.0,1122,1.0,7.0,12.0,2.012758900771626
2024-06,infrasettimanale,tarda_mattina,,1146,0,370,2054,0,2054,1146,532,374,182,0,35482.0,0,0,1330.0,792,36812.0,602,6.0,52.5,82.75,17.29142300194932
2024-06,weekend,mattina,EC,3,0,1,18,0,18,3,7,8,1,0,58.0,0,0,32.0,1,90.0,1,0.0,7.599999999999999,17.39999999999992,3.2222222222222223
2024-06,weekend,mattina,IC,95,0,22,203,0,203,95,57,49,12,0,2542.0,0,0,236.0,58,2778.0,43,3.0,36.0,69.0,12.64676616915423
2024-06,weekend,mattina,ICN,0,0,0,4,0,4,0,0,4,0,0,-74.0,0,0,74.0,0,0.0,0,-22.5,-7.699999999999996,-4.8500000000000085,-18.5
2024-06,weekend,mattina,MET,8,0,0,277,0,277,8,107,151,0,0,-123.0,0,0,318.0,3,195.0,1,-1.0,2.0,3.0,-0.4624060150375939
2024-06,weekend,mattina,REG,1129,0,95,8552,0,8552,1129,3689,3425,21,0,11557.0,0,0,8858.0,463,20415.0,265,0.0,6.0,10.0,1.4020380929273324
2024-06,weekend,mattina,,287,0,61,620,0,620,287,155,174,25,0,6902.0,0,0,784.0,186,7686.0,135,3.770967741935484,29.699032258064538,50.10112903225803,11.21058893163658
2024-06,weekend,notte,EC,0,0,0,1,0,1,0,0,1,0,0,-9.0,0,0,9.0,0,0.0,0,-9.0,-9.0,-9.0,-9.0
2024-06,weekend,notte,EN,6,0,2,9,0,9,6,2,1,2,0,512.0,0,0,2.0,3,514.0,3,8.0,204.00000000000003,246.0,56.888888888888886
2024-06,weekend,notte,IC,35,0,10,100,0,100,35,26,38,2,0,883.0,0,0,182.0,24,1065.0,21,2.0,29.00000000000001,48.29999999999998,8.919191919191919
2024-06,weekend,notte,ICN,4,0,1,16,0,16,4,4,8,1,0,43.0,0,0,85.0,3,128.0,2,-1.0,12.5,33.75,2.6875
2024-06,weekend,notte,MET,17,0,0,136,0,136,17,41,71,0,0,79.0,0,0,193.0,11,272.0,5,-1.0,8.200000000000003,13.0,0.6124031007751938
2024-06,weekend,notte,NCL,0,0,0,5,0,5,0,0,5,0,0,-148.0,0,0,148.0,0,0.0,0,-27.0,-23.0,-22.0,-29.6
2024-06,weekend,notte,REG,379,0,31,3527,0,3527,379,1419,1643,8,0,2625.0,0,0,4575.0,158,7200.0,83,0.0,5.0,8.0,0.7628596338273758
2024-06,weekend,notte,,58,0,15,172,0,172,58,41,71,5,0,1324.0,0,0,354.0,38,1678.0,26,1.0,26.16860465116279,37.58139534883721,7.796004370220072
2024-06,weekend,pomeriggio,EC,26,0,7,58,0,58,26,20,12,2,0,612.0,0,0,24.0,18,636.0,15,3.5,36.60000000000001,49.49999999999999,10.551724137931034
2024-06,weekend,pomeriggio,EN,3,0,3,4,0,4,3,1,0,2,0,229.0,0,0,0.0,3,229.0,3,62.5,93.4,96.7,57.25
2024-06,weekend,pomeriggio,IC,101,0,20,166,0,166,101,23,42,6,0,2167.0,0,0,165.0,66,2332.0,48,7.0,33.0,47.0,13.05421686746988
2024-06,weekend,pomeriggio,ICN,0,0,0,1,0,1,0,0,1,0,0,-4.0,0,0,4.0,0,0.0,0,-4.0,-4.0,-4.0,-4.0
2024-06,weekend,pomeriggio,MET,14,0,0,359,0,359,14,132,201,0,0,-185.0,0,0,468.0,5,283.0,1,-1.0,2.0,3.6999999999999886,-0.5331412103746398
2024-06,weekend,pomeriggio,REG,1725,0,147,10148,0,10148,1725,4197,3840,27,0,19141.0,0,0,10197.0,743,29338.0,429,1.0,7.0,13.0,1.9607662364269618
2024-06,weekend,pomeriggio,,224,0,50,508,0,508,224,136,141,16,0,4836.0,0,0,499.0,146,5335.0,111,3.938976377952756,29.849803149606323,45.11515748031496,9.65583849891104
2024-06,weekend,sera,EC,12,0,2,27,0,27,12,11,4,1,0,236.0,0,0,8.0,7,244.0,6,3.0,23.200000000000006,32.0,8.74074074074074
2024-06,weekend,sera,EXP,0,0,0,2,0,2,0,0,2,0,0,-27.0,0,0,27.0,0,0.0,0,-13.5,-3.5,-2.25,-13.5
2024-06,weekend,sera,IC,46,0,19,87,0,87,46,20,20,9,0,1636.0,0,0,106.0,36,1742.0,25,5.0,60.0,71.75,19.023255813953487
2024-06,weekend,sera,ICN,37,0,12,92,0,92,37,25,30,5,0,1113.0,0,0,168.0,25,1281.0,18,3.0,34.60000000000002,64.40000000000003,12.097826086956522
2024-06,weekend,sera,IR,1,0,1,1,0,1,1,0,0,0,0,43.0,0,0,0.0,1,43.0,1,43.0,43.0,43.0,43.0
2024-06,weekend,sera,MET,20,0,0,340,0,340,20,149,157,0,0,-3.0,0,0,338.0,4,335.0,1,0.0,3.0,5.0,-0.00920245398773
2024-06,weekend,sera,NCL,1,0,0,3,0,3,1,1,1,0,0,18.0,0,0,1.0,1,19.0,1,0.0,15.199999999999998,17.099999999999998,6.0
2024-06,weekend,sera,REG,1428,0,90,8412,0,8412,1428,3346,3345,18,0,14414.0,0,0,8826.0,618,23240.0,340,0.0,7.0,13.0,1.7753417908609437
2024-06,weekend,sera,,57,0,8,188,0,188,57,45,82,2,0,493.0,0,0,524.0,33,1017.0,18,0.19148936170212752,14.844680851063831,25.95212765957441,2.67033096926714
2024-06,weekend,tarda_mattina,EC,25,0,3,62,0,62,25,15,20,1,0,335.0,0,0,83.0,16,418.0,7,2.5,15.0,26.44999999999997,5.583333333333333
2024-06,weekend,tarda_mattina,EXP,1,0,1,2,0,2,1,0,1,0,0,-2.0,0,0,40.0,1,38.0,1,-1.0,30.200000000000003,34.099999999999994,-1.0
2024-06,weekend,tarda_mattina,IC,81,0,30,201,0,201,81,52,65,13,0,2253.0,0,0,362.0,56,2615.0,47,3.0,42.30000000000001,69.14999999999998,11.37878787878788
2024-06,weekend,tarda_mattina,ICN,5,0,1,14,0,14,5,4,5,0,0,108.0,0,0,14.0,4,122.0,2,3.0,17.200000000000006,32.999999999999986,7.714285714285714
2024-06,weekend,tarda_mattina,MET,12,0,0,356,0,356,12,134,206,0,0,-212.0,0,0,468.0,2,256.0,1,-1.0,2.0,3.0,-0.6022727272727273
2024-06,weekend,tarda_mattina,REG,1597,0,106,10100,0,10100,1597,4232,3874,25,0,16429.0,0,0,9960.0,606,26389.0,349,0.0,7.0,11.0,1.693187673915284
2024-06,weekend,tarda_mattina,,237,0,71,479,0,479,237,118,117,26,0,6391.0,0,0,455.0,168,6846.0,125,4.935281837160751,39.64091858037578,66.24947807933194,13.546608344103124
2024-07,infrasettimanale,mattina,EC,12,0,1,45,0,45,12,7,26,1,0,81.0,0,0,122.0,7,203.0,5,-1.0,14.200000000000005,19.799999999999983,1.8
2024-07,infrasettimanale,mattina,EXP,1,0,1,2,0,2,1,1,0,1,0,68.0,0,0,0.0,1,68.0,1,34.0,58.0,61.0,34.0
2024-07,infrasettimanale,mattina,IC,309,0,74,568,0,568,309,164,95,30,0,7870.0,0,0,364.0,190,8234.0,143,5.0,37.0,60.0,13.855633802816902
2024-07,infrasettimanale,mattina,ICN,6,0,5,16,0,16,6,0,10,1,0,130.0,0,0,122.0,6,252.0,5,-1.5,46.0,55.5,8.125
2024-07,infrasettimanale,mattina,MET,44,0,2,1135,0,1135,44,528,553,0,0,8.0,0,0,1134.0,11,1142.0,5,0.0,3.0,4.0,0.0071111111111111
2024-07,infrasettimanale,mattina,NCL,1,0,0,1,0,1,1,0,0,0,0,5.0,0,0,0.0,0,5.0,0,5.0,5.0,5.0,5.0
2024-07,infrasettimanale,mattina,REG,5941,0,398,36040,0,36040,5941,16434,13484,81,0,65947.0,0,0,33576.0,2270,99523.0,1286,1.0,7.0,11.0,1.839064112217296
2024-07,infrasettimanale,mattina,,2040,0,502,3494,0,3494,2040,866,588,194,0,52048.0,0,0,2136.0,1398,54184.0,1018,7.0,39.0,63.69999999999983,14.896393817973667
2024-07,infrasettimanale,notte,DIR,0,0,0,1,0,1,0,0,1,0,0,-1.0,0,0,1.0,0,0.0,0,-1.0,-1.0,-1.0,-1.0
2024-07,infrasettimanale,notte,EC,0,0,0,1,0,1,0,0,1,0,0,-3.0,0,0,3.0,0,0.0,0,-3.0,-3.0,-3.0,-3.0
2024-07,infrasettimanale,notte,EN,14,0,3,23,0,23,14,2,7,2,0,329.0,0,0,20.0,10,349.0,7,8.0,44.600000000000016,62.49999999999998,14.304347826086952
2024-07,infrasettimanale,notte,EXP,1,0,1,1,0,1,1,0,0,0,0,31.0,0,0,0.0,1,31.0,1,31.0,31.0,31.0,31.0
2024-07,infrasettimanale,notte,IC,171,0,50,277,0,277,171,56,48,12,0,4096.0,0,0,221.0,122,4317.0,90,8.0,43.6,56.30000000000001,14.894545454545455
2024-07,infrasettimanale,notte,ICN,11,0,7,34,0,34,11,7,16,4,0,446.0,0,0,68.0,8,514.0,7,0.5,60.1,71.49999999999997,13.117647058823527
2024-07,infrasettimanale,notte,MET,12,0,0,430,0,430,12,151,266,0,0,-340.0,0,0,629.0,3,289.0,1,-1.0,2.0,3.0,-0.7925407925407926
2024-07,infrasettimanale,notte,REG,2162,0,159,14743,0,14743,2162,6191,6338,32,0,20652.0,0,0,16817.0,880,37469.0,517,0.0,6.0,11.0,1.405758627731264
2024-07,infrasettimanale,notte,,540,0,126,1194,0,1194,540,340,312,40,0,12102.0,0,0,1278.0,342,13380.0,266,4.0,30.0,47.0,10.15268456375839
2024-07,infrasettimanale,pomeriggio,EC,122,0,31,167,0,167,122,29,16,7,0,2891.0,0,0,39.0,93,2930.0,68,11.0,43.400000000000006,55.0,17.311377245508982
